"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";9;9;9;0;5;4
"X3";11;8;11;0;9;2
"X4";13;11;12;1;11;2
"X6";17;12;17;0;6;11
"X7";13;9;12;1;10;3
"X8";10;7;9;1;8;2
"X9";15;10;15;0;12;3
"X10";20;14;19;1;16;4
"X11";14;9;13;1;11;3
"X13";16;13;16;0;15;1
"X14";15;12;14;1;11;4
"X16";26;19;25;1;17;9
"X17";19;13;19;0;15;4
"X19";14;9;13;1;8;6
"X20";13;8;12;1;8;5
"X21";15;12;14;1;13;2
"X22";13;10;10;2;4;6
"X27";15;15;15;0;9;6
"X28";22;12;18;3;5;13
"X29";13;9;10;3;6;5
"X30";15;7;8;6;4;5
"X36";20;11;19;1;9;11
"X37";15;13;14;1;11;4
"X38";16;14;14;0;6;8
"X39";20;14;19;1;13;7
"X43";18;13;18;0;15;3
"X44";25;16;20;4;5;15
"X45";15;10;14;1;8;7
"X46";21;12;20;1;16;5
"X47";23;19;23;0;18;5
"X48";16;11;15;1;13;3
"X51";23;19;22;1;20;3
"X52";22;16;22;0;18;4
"X53";21;17;20;1;15;6
"X55";13;9;12;1;9;4
"X56";22;14;17;4;3;14
"X57";16;12;15;1;10;6
"X58";19;14;19;0;13;6
"X60";17;11;16;1;13;4
"X61";16;12;16;0;15;1
"X62";21;11;16;4;4;12
"X63";16;11;15;1;12;4
"X65";17;11;17;0;12;5
"X69";21;15;21;0;16;5
"X71";12;10;11;1;9;3
"X74";13;10;12;1;11;2
"X75";13;10;13;0;11;2
"X76";23;19;23;0;20;3
"X79";13;10;13;0;3;10
"X80";24;19;23;1;17;7
"PE10";19;10;19;0;11;8
"PE11";23;19;22;1;16;7
"PE13.1";19;15;18;1;13;6
"PE13.2";23;17;22;1;16;7
"PE14";15;10;14;1;12;3
"PE20";18;13;18;0;13;5
"UECR1";13;10;10;3;5;6
"UECR2";13;10;12;1;12;1
"UECR3";15;13;14;1;12;3
