"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,552878596597725;0;0;0;0;0;0;0;0;0,011445175619369;0;0;0;0;0;0;0;0;0;0;0;0,0405783495495715;0;0;0;0;0;0;0;0;0,0196648923935455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0291851973996982;0;0;0;0;0,0751603463708575;0;0;0;0;0;0,112662839316803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,117846253202859;0;0;0;0;0;0,0405783495495715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0,0266089558324911;0;0;0;0;0;0;0;0;0;0;0,129171527999661;0;0;0;0;0;0;0;0;0;0;0;0;0,0142011682179875;0;0;0;0;0;0,0299059894458385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0141863540792357;0;0;0;0;0;0;0;0;0;0,222977926970919;0;0;0;0;0;0;0;0;0;0;0;0;0,156439698030076;0;0;0;0;0;0,134771870574996;0;0,0134816777160521;0;0;0,0400974159173572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,218157415215386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0,171838659128229;0;0;0;0;0;0;0;0;0,0121518049653146;0,0706323674865706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,078227245541991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0380559945822548;0;0;0;0,113795883552859;0;0;0;0;0;0;0;0,0134747837703297;0;0;0;0;0,134857461815728;0;0;0,273811794298671;0;0;0;0;0,0380180257792101;0;0;0;0;0;0,0195996855886278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0195996855886278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0159366079015869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0290762344874722;0;0;0;0;0;0;0;0;0,0249224867573614;0;0;0;0;0;0,0279882797349984;0;0;0;0;0;0;0;0;0;0;0;0;0;0,278990046677797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0896748357191016;0;0;0;0;0;0;0,0224527719059385;0;0,0262295807507745;0;0;0,0322941688670448;0;0,02906475201801;0;0;0;0;0;0;0,0323611394921864;0;0;0,0157164954073088;0,0251634727027422;0;0;0;0,141204770919818;0;0;0,034447113433068;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0106708020901758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0312176965840332;0;0;0;0;0;0;0;0;0;0;0;0;0;0,148525352452169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X7";0;0;0;0;0,204002150527443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0151154949240262;0;0;0,0468580346981685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0512836638766774;0;0,011903452464586;0;0,117077606702318;0;0;0;0;0;0;0;0,0158712696899405;0;0;0;0;0,103854802198676;0;0;0,281708165203226;0;0;0;0;0,0648485458899042;0;0;0,0113366210944543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0597439940824604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0163961986481204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,222052778513486;0;0;0;0;0;0;0;0;0,0413657447377409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0124687273229119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0410480177147033;0;0,0362929024293452;0;0,116084793571923;0;0;0;0;0;0;0;0;0;0;0;0;0,186864983945968;0;0;0,288782165280025;0;0;0;0;0,0387827269036636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0162571595802326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,0508079028141082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10824982310667;0;0;0;0;0;0,0419008386325393;0;0;0;0;0;0;0,0534084296628028;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0175632255643154;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0250567978430983;0;0;0;0;0;0;0;0;0;0,0429249016511073;0;0;0;0;0;0;0,103915151924661;0;0;0;0;0;0,203661579686209;0;0,0995575708118454;0;0;0;0,0342901073108215;0;0;0;0;0,0184784601930164;0;0;0,0913487805890889;0;0;0;0;0;0;0,0710841442245108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0377522859852053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0;0;0;0;0,0371023219183257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0105759514629267;0;0;0;0;0;0,0283481483841777;0;0;0;0;0;0;0;0;0;0;0;0;0,0318075061067809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0146224024843572;0,0475376668177975;0;0;0;0;0,0554722219200575;0;0;0,0170134873547328;0;0;0,0448141967147734;0;0;0;0,0216554732347581;0;0;0;0;0;0;0;0;0,0205541319984845;0,0824171167539369;0;0;0,213888863470557;0;0,0238371314788869;0,0203489156794529;0;0;0;0;0;0,0639448415723005;0;0;0;0;0;0;0;0;0;0;0;0,0619310880460581;0;0;0;0;0;0;0;0;0;0;0;0,0863967178052362;0,0114655191767994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1062662976196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,0352893182930495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0288260844240612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0159185243784744;0;0;0;0;0,529167713312748;0;0;0;0;0;0,0623745277582279;0;0;0;0,0259844495374213;0;0;0;0;0;0;0;0,0222860026726963;0;0;0;0;0,161308865298037;0;0,0172117202463372;0;0;0,0106431256446693;0,0270915929079475;0;0;0;0;0;0;0;0,0174572426763701;0;0,0169985167743124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0294423160756475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0;0;0;0;0,104644817355794;0;0;0;0;0;0;0;0;0;0;0,0122550258642182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0178180489123783;0;0;0,0613136641382764;0;0;0;0;0,135365482981042;0;0;0;0;0;0,0158113504794626;0;0;0;0;0;0;0;0;0;0;0,0269220343024962;0,0208243597529395;0;0,0222880643865019;0;0;0,207235835176133;0;0,104297577431102;0;0;0;0,0657873689446467;0;0,0506007907601671;0,0472455713170152;0;0;0;0;0,0424019884240379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0651880197737882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
