"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";15;14;14;1;11;4
"X3";8;5;8;0;5;3
"X4";11;10;11;0;7;4
"X6";14;11;14;0;11;3
"X7";20;16;19;1;14;6
"X8";12;9;11;1;7;5
"X9";13;12;13;0;8;5
"X10";18;11;18;0;10;8
"X11";20;16;20;0;9;11
"X13";11;8;10;1;5;5
"X14";16;14;16;0;11;5
"X16";20;13;20;0;10;10
"X17";16;11;16;0;11;5
"X19";13;7;12;1;6;7
"X20";14;10;13;1;8;6
"X21";18;11;13;3;8;6
"X22";11;8;10;1;9;2
"X27";15;12;14;1;8;7
"X28";17;14;17;0;8;9
"X29";18;13;15;2;7;8
"X30";16;13;13;1;3;10
"X36";20;15;20;0;6;14
"X37";13;10;10;2;4;6
"X38";16;12;16;0;9;7
"X39";15;9;12;1;2;10
"X43";18;14;17;1;14;4
"X44";21;15;21;0;10;11
"X45";17;11;17;0;8;9
"X46";14;8;13;1;8;6
"X47";24;19;22;1;10;12
"X48";16;11;13;0;7;6
"X51";17;13;16;1;8;8
"X52";12;6;8;2;3;5
"X53";19;12;14;2;5;9
"X55";14;9;14;0;8;6
"X56";16;9;13;2;3;10
"X57";19;14;18;1;8;11
"X58";19;11;17;1;5;12
"X60";17;13;17;0;11;6
"X61";16;13;16;0;14;2
"X62";14;10;14;0;7;7
"X63";18;14;18;0;13;5
"X65";17;11;16;1;10;7
"X69";14;12;13;0;5;8
"X71";14;10;12;1;7;5
"X74";13;10;10;1;5;5
"X75";12;10;12;0;8;4
"X76";13;11;12;1;10;3
"X79";11;9;10;0;5;5
"X80";18;12;17;1;6;11
"PE10";16;8;16;0;7;9
"PE11";30;25;30;0;15;15
"PE13.1";23;17;20;1;8;12
"PE13.2";15;10;15;0;6;9
"PE14";14;10;14;0;10;4
"PE20";20;16;19;1;11;9
"UECR1";20;16;19;1;14;6
"UECR2";13;9;13;0;12;1
"UECR3";18;14;16;0;9;7
