"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,10063842358253;0;0;0;0;0;0;0;0;0,0260395119080714;0;0,0135957683986457;0;0;0;0;0;0;0;0;0;0,0923219050057883;0;0;0;0;0;0;0;0;0,0447406153197064;0;0;0;0;0;0;0,0118198958902562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0664007543879657;0;0;0;0;0,0136136685509855;0;0;0;0;0;0,194198974266656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,268118115060136;0;0;0,0271653800426488;0;0;0,0923219050057883;0;0;0,0151841833491838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0203925762329632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013448322998675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0,0189544952351727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0308295395112507;0;0;0;0,0170469221635504;0;0,0649233829985701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33961740171752;0;0;0,149001773111147;0;0;0,2925783741956;0;0;0;0;0,0870481110671893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0276419064120861;0,160668583580851;0;0;0;0,019003811148637;0;0,01382095364189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,177944774979443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,152383150597427;0;0;0;0;0;0,0219556315219462;0;0;0;0;0;0;0;0;0;0;0;0,0306513076012743;0;0;0;0;0,306762439746359;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0445837203850427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0445837203850427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0646306410398017;0;0;0;0;0;0;0;0;0,0553976924394474;0;0;0;0;0;0,0622123357016406;0;0;0,0135792166435168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,100115123748156;0;0,0646051178118067;0;0,0339156283196372;0;0;0;0;0;0;0;0,0349346189758897;0;0;0;0;0,313869901770061;0;0;0,0765690283626373;0;0;0;0;0;0;0;0;0;0;0,0415477094185983;0;0;0;0;0;0;0,0436998551525262;0;0;0;0;0;0;0;0;0;0;0;0,0255324485841417;0,0693906820321389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X7";0;0;0;0;0,0601508288501575;0;0;0;0;0;0;0;0;0,0116959946681248;0;0;0;0;0;0;0;0;0,0334171267515865;0;0;0,103593093888708;0;0;0,021303418641892;0;0;0,021303418641892;0;0;0,0150377074304462;0;0;0;0;0;0;0,0640827348960753;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0162908494984099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0484488864306689;0;0,026315987785374;0;0;0;0;0;0;0;0;0;0,0350879831327472;0;0;0;0;0,229600757783833;0;0;0,0164030953518202;0;0;0;0;0,0568926589504756;0;0;0,025062844845783;0;0;0,021303418641892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,023939271778307;0,132081194359452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0379887276723551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,14230667782846;0;0;0;0;0;0;0;0;0,0938926048293549;0;0;0;0;0,0198364653591142;0;0;0;0;0;0;0;0;0;0,0283017094138527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0823781891880173;0;0,0423136396600834;0;0;0;0;0;0;0;0;0,0126346917184577;0;0;0;0,424149020048339;0;0;0,0214789757439157;0;0;0;0;0;0,0138981603579165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0198364653591142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0989734004933739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,113268352559658;0;0;0;0;0;0;0;0;0,0111869977200885;0;0,0151236578751187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,11908894320134;0;0,0148227722795393;0,0934114320785923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0391544920203098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0125853722205124;0;0;0;0,0211367165558049;0;0;0;0;0;0;0;0;0;0;0;0;0,454031958279309;0;0;0;0;0;0,0764444849928373;0;0;0,0185578224968019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0111869977200885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0124086856080953;0;0;0;0;0;0;0;0,0237833142272184;0;0;0;0;0;0,0948136479103946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0328830171225168;0,010857600124637;0;0;0;0;0;0;0;0,0382601146834726;0,0144768004562543;0;0,0299359540947959;0;0,0139597719617682;0;0,0352590627410799;0;0;0;0;0;0;0,0907028051560683;0;0,0462223547168588;0;0;0;0,480995593394595;0;0,0196470862713297;0,0184579204729474;0;0;0;0;0;0,011065684998833;0;0;0,011788251240669;0;0,014482334818466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,0770830424913505;0;0;0;0;0;0;0;0,0249707978693733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0387249157319268;0;0;0,0151994731794198;0;0;0;0;0;0;0,0189651940117126;0;0;0;0;0;0;0;0;0;0,0298090503754508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0358273293300979;0;0;0;0;0;0,1139960484157;0;0,0173708263679231;0;0;0;0;0,0434383835779372;0;0;0;0;0,0162851497736714;0;0;0;0;0,352349626443453;0;0,0234679796587712;0;0;0,023247955641875;0,0591766151428602;0;0;0,0217135327449298;0;0;0;0;0;0;0,0371301417591377;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0195421795564265;0;0;0;0;0;0;0;0,0179643293205445;0;0;0,0137374286074386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0;0;0;0;0;0;0;0;0;0;0;0;0,0564826622003643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0113321402325774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0198312445429072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,459423082301123;0;0,125588440048972;0;0;0;0,145844640196242;0;0,0148103807243245;0,0651598046091136;0;0;0,0261281351372251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0209396747961893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0544597952109625;0;0;0;0;0;0
