"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,303580624210005;0;0;0;0;0;0;0;0;0,0128900725450258;0;0;0;0;0;0;0;0;0;0;0;0,0457011658751836;0;0;0;0;0;0;0;0;0,0221474879873361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0328696845058763;0;0;0;0;0;0;0;0;0;0;0,404386038050653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,132723760950737;0;0;0;0;0;0,0457011658751836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,150214044567685;0;0;0;0;0;0;0;0;0;0;0;0;0,0154868557422904;0;0;0;0;0;0,0326134961060123;0;0;0;0;0;0;0,299358188253191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,053532531068512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,170602798204343;0;0;0;0;0;0,146973297243949;0;0;0,025554867173815;0;0,0437275924359645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,027664404864801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0342719243394376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0137302789387317;0,0798072476032789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,140363391895608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0691202759606275;0;0;0;0,0940730754281107;0;0;0;0;0;0;0;0,0152251077378061;0;0;0;0;0,152374941252307;0;0;0,26877682219222;0;0;0;0;0,033644102913237;0,0770588996323467;0;0;0;0;0,0221456113730782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0221456113730782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0115346336995698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0,0217979630322252;0;0;0;0;0;0;0;0;0,0325076428022395;0;0;0;0;0;0;0;0;0,0278636938906556;0;0;0;0;0;0,0445195832212819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0347919352127238;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0694764653092831;0;0,0324948052384234;0;0,0365889278101368;0;0;0;0;0;0;0,116561257203126;0,0661489208960893;0;0,0569313290815273;0;0;0,157868937843765;0;0,0424661857443541;0,0781730266595795;0;0;0;0;0,0481013668047145;0;0;0;0;0;0,0369019864189085;0;0;0;0;0;0;0,0140352365519003;0;0;0;0;0;0;0;0;0;0;0;0,0478689084615852;0,0349018278174805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X7";0;0;0;0;0,143335293240539;0;0;0;0;0;0;0;0;0;0;0,0610412605267402;0;0;0;0;0;0;0,016886140400958;0;0;0,0523470357274598;0;0;0,0107649146762833;0;0;0,0107649146762833;0;0;0;0;0;0;0;0;0;0,0892388181229916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0698902444499583;0;0;0;0;0;0,179877195179778;0;0,0132978358024939;0;0;0;0;0;0;0;0;0;0,0177304474430282;0;0;0;0;0,116020466419067;0;0;0;0;0;0;0;0,0625396099318244;0,0268564132667974;0;0,0126646051906072;0;0;0,0107649146762833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0667424703763331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0392374198925729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,190133537158921;0;0;0;0;0;0;0;0;0,04665549335228;0;0,0541624925143759;0;0;0;0;0;0;0;0;0;0;0;0;0,0140631971795434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0611411273356505;0;0;0;0;0;0;0;0,040933948579013;0;0,0557323271852811;0;0;0;0;0;0;0;0;0;0;0;0;0,210760813604082;0;0;0,0106729620703923;0;0;0;0;0;0,0375692943328824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0540248584064459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,224149948281133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,0623415171285691;0;0;0;0;0;0;0;0;0;0;0,0966340852593272;0;0;0;0;0;0;0;0;0;0;0;0;0,030715136107426;0;0;0;0;0;0,0474796749983231;0;0;0;0;0;0;0,125024617916893;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019901659941201;0;0;0;0;0;0,0147830723453762;0;0;0,0147624285542042;0;0;0;0;0;0;0;0;0;0;0,0265058619387098;0;0;0;0,0378674140432309;0;0;0;0;0;0;0;0;0;0;0;0;0,230777853826461;0;0,0228016803635178;0,0490356383345883;0;0;0,0388556220808214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0653625336841262;0;0;0;0;0;0;0;0;0;0;0;0,0429029086419996;0,0201549263735671;0;0;0;0;0;0;0;0;0;0;0;0,0540933684616578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0;0;0;0;0,0148001803886237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0120139424810153;0;0;0;0;0;0,0404052543670007;0;0;0;0;0;0;0;0;0;0;0;0;0,0654179647505529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0113259921628585;0;0,0166105813738965;0,0369826833856652;0;0;0;0;0,0278648056345903;0;0;0,0193267772831361;0;0;0,0388227139664726;0;0;0;0,0106407624731268;0;0;0;0;0;0;0,0451947454132314;0,0242677800820938;0,023348836314407;0,103362107316416;0;0;0,242970905461579;0;0,0260384403417841;0,036911491904236;0;0;0;0;0,0231549861727583;0;0;0,0172675012174032;0;0;0;0;0;0;0;0;0;0,0450478338627946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0183692203118315;0;0;0;0;0;0;0,0998544933345257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,0785302432667135;0;0;0;0;0;0;0;0;0;0;0,0149168711927711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,11392796917808;0;0;0;0;0;0,131383530406733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,185914287823613;0;0,285328980527203;0;0;0,0122665863453321;0,0312240383824062;0;0;0,0188332863936578;0;0,0588430223423692;0;0;0;0;0,0195914039461816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04923978019494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0;0;0;0;0,0194808508382546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0541696323554289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,041872676940152;0;0;0;0;0;0;0;0;0;0;0,029244149172418;0;0;0;0,0150989030987263;0;0;0;0;0;0;0,0401683854679576;0,0280730745616851;0;0,0938662762689819;0;0;0,227997910891468;0;0,0623257800192901;0;0;0;0,0723783252528576;0;0;0,0919413628444955;0;0;0;0;0;0;0;0;0;0;0;0,0146656915034073;0;0;0;0;0;0;0;0;0;0;0;0;0,12102229687346;0;0;0;0;0;0;0;0;0;0;0;0,0733987080752931;0;0;0;0;0;0;0,0142959758361241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
