"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;12;0,108339777794029;3,90829617086657;0,831862718473448;0,784117693929902;0,700984498582513;0,142343158197726;0
"X3";5;15;0,0856242432907005;3,99713927789504;0,346914304800715;0,439643578677476;0,583333333576389;0,306270323882333;6
"X4";13;25;0,0967037282232679;3,95425162891044;0,507395860863649;0,415040737011446;0,669748886808124;0,381387181324628;6
"X6";4;21;0,119153845303806;4,56575733921823;0,612571056059052;0,446043902693939;0,339208177216386;0,191534406613527;9
"X7";12;31;0,0975246786988154;3,93411145529502;0,622372467234111;0,599190931004258;0,669955012358371;0,223934772573165;4
"X8";13;25;0,101343444057862;4,16885743073408;0,638745176233483;0,598880025102827;0,697394048333333;0,3373278494665;5
"X9";7;27;0,0999638142886534;4,14695919449309;0,492742448941772;0,401454719440054;0,437010873233526;0,25201123190338;8
"X10";17;39;0,112982213573812;4,04807210612925;0,503208277985149;0,462773744733608;0,376576605347129;0,253053275714365;9
"X11";15;28;0,0950292903976458;4,8323293047217;0,486338175128951;0,786615443251781;0,352492147786985;0,241202223452285;3
"X13";7;23;0,11501699317076;4,29213328303766;0,494851915453566;0,397158865122952;0,175111323962683;0,440642241096617;10
"X14";9;24;0,107067434058439;4,17391834009436;0,671802549437901;0,762006295516269;0,612510403825757;0,176988841625636;7
"X16";10;26;0,101781599573834;4,37530076358723;0,770923769484082;0,565276409547491;0,375621713134825;0,0970454479651005;11
"X17";16;23;0,0953318572299352;4,23360268132407;0,833108989654966;0,765069919526055;0,41899490670797;0,114095839944988;10
"X19";7;15;0,0984129585264001;3,91524715798027;0,708272625559514;0,834340483912183;0,763623692916667;0,183654995316677;3
"X20";7;21;0,103252292033709;4,61864659850445;0,774458791360322;0,779886937853092;0,398094074777175;0,160780081925163;11
"X21";8;22;0,113794829232178;3,92920509796012;0,566309766030307;0,768037984097393;0,439029459923639;0,224527629068335;5
"X22";4;19;0,122624831693917;3,97011248909081;0,574609788820841;0,33779807465942;0,218598523475381;0,286176443369393;8
"X27";9;23;0,096968608007042;4,30771327440678;0,627418211919422;0,790646464836917;0,808529712916667;0,147346913800182;6
"X28";10;25;0,097030872071803;4,6250318364616;0,7634562337248;0,449704012705817;0,445269969533562;0,141601835909685;7
"X29";10;30;0,108051602390576;4,81055688951365;0,523062760991613;0,475130908445551;0,328690249755216;0,483917311950888;9
"X30";25;31;0,131338855474615;5,55954281236178;0,729801912237325;0,762408608078094;0,690071698641378;0,0904222499363804;13
"X36";16;34;0,119119467432311;3,94742877999613;0,541588643479087;0,769584027540724;0,279116265561694;0,106567646263094;11
"X37";10;21;0,0966473142386853;4,19195618783874;0,635591097384559;0,532388865890799;0,282254425909244;0,29900521681647;8
"X38";7;18;0,109083918009019;4,09332632607989;0,485581009984548;0,874198958200662;0,119017250474534;0,0877935562104047;7
"X39";10;29;0,0986336530997373;4,2522582884691;0,607719121049666;0,369668985642248;0,19256593595184;0,0874643824301251;15
"X43";11;34;0,119664691210131;4,42478019705407;0,54660035670792;0,355223642294457;0,315151621397819;0,26515942635013;9
"X44";26;31;0,12380595094652;6,01480498984945;0,679234975421296;0,552234215117899;0,687668817234988;0,0780701990333317;11
"X45";20;23;0,102733018826131;4,09901953123056;0,907060993418243;0,342825064081962;0,711770388161871;0,201640138774377;7
"X46";13;15;0,109604126138795;4,38618607355183;0,62319129205914;0,225414024361762;0,578814427736961;0,215030030660948;8
"X47";12;34;0,117518861710413;4,00669487628436;0,537895680496183;0,771360456256603;0,292803871751761;0,141266360347266;9
"X48";5;22;0,0967154712094645;4,8232230250183;0,485196197887733;0,782561187674048;0,29912170244377;0,0952781391308973;7
"X51";3;17;0,1098908732029;4,95614115191345;0,668367375186065;0,310722579132226;0,2944301623743;0,258332240660726;6
"X52";7;24;0,102234623784242;4,75129685829016;0,498416785961592;0,780868783121214;0,13496145793208;0,0847908777284574;12
"X53";7;24;0,10393358991809;3,94861409597537;0,535701998135541;0,76542644773375;0,18345134911906;0,125814711614279;9
"X55";9;22;0,102068978307065;4,77228480268433;0,570182439558475;0,776073359533809;0,158607174875471;0,0555022075850316;7
"X56";20;24;0,0997238654148036;5,31724438006697;0,798975715864847;0,523448428573263;0,71366792102816;0,14600008844421;9
"X57";18;23;0,108311622069449;4,91606176885194;0,795174258033525;0,584125309996544;0,676470456162964;0,149857348858183;9
"X58";21;28;0,103371832934782;4,7032835909003;0,805775552114847;0,59576067523993;0,69019610602816;0,149278532100363;9
"X60";16;27;0,0978617735239884;4,5436451673358;0,757609831234999;0,623070245255619;0,668547590203162;0,17116178088773;7
"X61";7;22;0,111263873563244;4,03666442997607;0,653319615424667;0,765774425074882;0,63052392778239;0,176252135463139;5
"X62";22;25;0,120322677781936;5,22953541309948;0,750785304007831;0,582641652835327;0,692839194186029;0,0716686548175365;12
"X63";23;32;0,0947051602239574;3,90411590779263;0,511726117673486;0,568367341104108;0,474822923732069;0,231791978907383;12
"X65";8;25;0,0962389787359335;5,4192985701453;0,7433525537613;0,200146623564763;0,199630025659883;0,0975290012242417;9
"X69";18;29;0,0950345314296692;4,04166947363838;0,597654836214816;0,386011439675786;0,364192988338304;0,287315642177924;12
"X71";7;26;0,0906309459664215;4,05592864223958;0,67330037470162;0,762704551174298;0,69158393366468;0,0743889199986158;8
"X74";11;20;0,131059953812682;4,31189597368701;0,564524315629629;0,579642459998412;0,705868614067381;0,339034772467351;9
"X75";8;24;0,107617755974056;4,96390618491905;0,544239941876349;0,394923843254504;0,518530676754883;0,296572432906937;9
"X76";4;24;0,113065496182794;4,13534688312394;0,606759454357442;0,446175323079058;0,431877969623299;0,335096174656832;14
"X79";12;16;0,116008174074821;4,25417680123798;0,724535510521453;0,367001169234843;0,274540282671104;0,272412264362522;8
"X80";17;25;0,105144529376128;4,71734112851808;0,602885399363645;0,615133875400291;0,75793449237902;0,220519373399412;8
"PE10";18;22;0,0964900759758305;4,4902885352531;0,525291362029843;0,768408624250566;0,410054837870041;0,0733760126304542;8
"PE11";30;41;0,0957135892612565;3,94641411365772;0,690294849971989;0,77843446233404;0,678256674734959;0,0946319591446609;8
"PE13.1";19;29;0,103938560173275;4,6409217703662;0,651435673238651;0,658056513858216;0,668182796721341;0,216047928923818;8
"PE13.2";12;32;0,105280291497793;3,92399172162358;0,565526058417185;0,776901201387447;0,316621966080263;0,146741068025637;13
"PE14";8;24;0,100535735075326;3,99330626189369;0,764554709960737;0,774990202992104;0,79063591607553;0,129399395523134;3
"PE20";12;26;0,110580058448822;3,91432281664539;0,684635666482028;0,765614847543105;0,556272618953544;0,14865565387021;4
"UECR1";8;31;0,104605007220451;4,76831572248358;0,599185420565054;0,425012742043667;0,423279499322567;0,238985277398747;11
"UECR2";5;21;0,107567635494646;3,96259319045415;0,56247894600695;0,82709530027081;0,675884979538926;0,396613867270224;7
"UECR3";13;22;0,0946935405505813;4,15756604207428;0,5342241233846;0,780780791341204;0,233727571766556;0,214750259480155;5
