"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";8;8;8;0;4;4
"X3";11;8;10;1;9;2
"X4";13;11;12;1;11;2
"X6";19;13;19;0;16;3
"X7";18;14;17;1;15;3
"X8";12;9;11;1;10;2
"X9";18;14;18;0;15;3
"X10";23;14;22;1;19;4
"X11";12;9;12;0;9;3
"X13";16;11;15;1;15;1
"X14";17;15;16;1;13;4
"X16";21;15;21;0;12;9
"X17";18;9;13;3;7;7
"X19";12;8;12;0;6;6
"X20";17;12;16;1;12;5
"X21";15;13;15;0;12;3
"X22";14;10;13;1;12;2
"X27";15;14;14;1;9;6
"X28";18;14;18;0;12;6
"X29";19;15;19;0;16;3
"X30";21;13;14;3;5;9
"X36";26;16;25;1;15;11
"X37";16;13;15;1;11;5
"X38";15;13;15;0;9;6
"X39";24;15;24;0;17;7
"X43";19;14;18;1;16;3
"X44";23;14;16;3;3;13
"X45";17;9;12;3;3;9
"X46";13;7;9;3;2;7
"X47";24;18;23;1;19;5
"X48";17;13;17;0;14;3
"X51";16;13;16;0;13;3
"X52";19;13;18;1;15;4
"X53";20;16;20;0;14;6
"X55";14;9;14;0;10;4
"X56";18;12;15;1;3;12
"X57";18;12;15;1;4;11
"X58";18;9;15;1;4;11
"X60";19;13;16;2;8;8
"X61";15;12;14;1;14;1
"X62";21;11;14;3;3;11
"X63";20;13;15;4;5;10
"X65";16;9;16;0;11;5
"X69";21;13;19;1;8;11
"X71";17;13;17;0;14;3
"X74";14;10;11;1;5;6
"X75";15;11;15;0;13;2
"X76";22;18;21;1;19;3
"X79";13;7;9;3;4;5
"X80";21;14;18;1;7;11
"PE10";19;10;16;1;3;13
"PE11";23;19;17;2;7;10
"PE13.1";21;14;18;1;8;10
"PE13.2";24;16;23;1;17;7
"PE14";16;12;15;1;13;3
"PE20";15;12;15;0;10;5
"UECR1";24;19;23;1;20;4
"UECR2";14;11;13;1;13;1
"UECR3";14;11;10;1;5;5
