"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;11;11;0;7;4
"X3";9;5;8;1;6;3
"X4";11;9;11;0;6;5
"X6";10;8;10;0;7;3
"X7";19;16;19;0;12;7
"X8";15;14;15;0;8;7
"X9";11;11;11;0;6;5
"X10";17;10;16;1;6;10
"X11";17;14;16;0;7;9
"X13";10;7;9;1;6;3
"X14";15;13;14;0;7;7
"X16";13;8;13;0;3;10
"X17";11;6;11;0;6;5
"X19";12;8;12;0;5;7
"X20";10;7;10;0;4;6
"X21";15;12;15;0;9;6
"X22";8;5;8;0;4;4
"X27";13;12;13;0;6;7
"X28";16;13;16;0;7;9
"X29";19;15;19;0;11;8
"X30";13;10;12;0;4;8
"X36";17;12;16;0;2;14
"X37";12;10;12;0;7;5
"X38";12;10;12;0;5;7
"X39";12;7;12;0;3;9
"X43";14;10;13;1;10;4
"X44";19;14;18;1;8;11
"X45";15;9;15;0;6;9
"X46";10;7;10;0;4;6
"X47";23;19;22;0;11;11
"X48";13;8;12;1;9;4
"X51";12;9;12;0;7;5
"X52";8;5;7;0;3;4
"X53";15;12;15;0;8;7
"X55";12;9;12;0;6;6
"X56";15;10;15;0;5;10
"X57";15;10;14;1;2;12
"X58";17;11;16;0;5;11
"X60";16;14;16;0;10;6
"X61";13;10;13;0;11;2
"X62";14;9;14;0;5;9
"X63";16;13;14;1;8;6
"X65";12;6;12;0;5;7
"X69";9;8;8;0;3;5
"X71";10;9;9;0;6;3
"X74";7;6;7;0;4;3
"X75";10;10;9;0;5;4
"X76";9;9;9;0;6;3
"X79";9;7;9;0;7;2
"X80";18;12;17;0;7;10
"PE10";12;5;11;0;2;9
"PE11";26;21;26;0;11;15
"PE13.1";20;16;18;0;9;9
"PE13.2";18;13;17;1;8;10
"PE14";15;11;15;0;11;4
"PE20";17;14;17;0;8;9
"UECR1";16;11;14;2;7;7
"UECR2";12;8;12;0;11;1
"UECR3";15;12;15;0;9;6
