"";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"multifunctionality"
"X1";1;1;1;0;0;1;4
"X3";1;1;1;0;0;1;4
"X4";0;1;0;0;0;1;2
"X6";1;1;0;0;0;1;3
"X7";1;1;1;0;0;1;4
"X8";1;0;0;0;0;1;2
"X9";1;1;1;0;0;1;4
"X10";1;1;0;0;0;1;3
"X11";1;1;1;0;0;1;4
"X13";1;1;0;0;0;1;3
"X14";1;1;0;0;0;1;3
"X16";1;1;1;0;0;1;4
"X17";1;1;1;1;0;1;5
"X19";1;1;0;0;0;1;3
"X20";1;1;1;1;0;1;5
"X21";1;1;0;0;0;1;3
"X22";1;1;0;0;0;1;3
"X27";1;1;1;1;0;1;5
"X28";0;1;1;0;0;1;3
"X29";1;1;0;0;0;1;3
"X30";1;1;1;1;0;1;5
"X36";1;1;1;0;0;1;4
"X37";1;1;1;0;0;1;4
"X38";0;1;1;1;0;1;4
"X39";0;1;1;0;0;1;3
"X43";1;1;0;0;0;1;3
"X44";0;1;1;0;0;1;3
"X45";1;1;1;0;0;1;4
"X46";0;1;0;0;0;1;2
"X47";1;1;1;0;0;1;4
"X48";0;1;0;1;0;1;3
"X51";1;1;0;0;0;1;3
"X52";1;1;1;1;0;1;5
"X53";0;1;1;0;0;1;3
"X55";0;1;1;0;0;1;3
"X56";0;1;1;0;0;1;3
"X57";1;1;1;0;0;1;4
"X58";1;1;1;0;0;1;4
"X60";1;1;1;0;0;1;4
"X61";1;1;0;0;0;1;3
"X62";0;1;1;0;0;1;3
"X63";0;1;1;0;0;1;3
"X65";0;1;1;0;0;1;3
"X69";1;1;0;0;0;1;3
"X71";1;1;0;0;1;0;3
"X74";1;1;0;0;0;1;3
"X75";1;1;0;0;0;1;3
"X76";1;1;0;0;0;1;3
"X79";1;1;1;0;0;1;4
"X80";1;1;0;0;0;1;3
"PE10";1;1;0;0;0;1;3
"PE11";1;1;0;0;0;1;3
"PE13.1";1;1;1;0;0;1;4
"PE13.2";1;1;1;0;0;1;4
"PE14";1;1;1;0;0;1;4
"PE20";1;1;1;0;0;1;4
"UECR1";1;1;0;0;0;1;3
"UECR2";1;1;0;0;0;1;3
"UECR3";1;1;0;0;0;1;3
