"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;10;10;1;7;4
"X3";10;7;10;0;8;2
"X4";12;11;12;0;10;2
"X6";24;14;19;3;8;11
"X7";17;13;17;0;14;3
"X8";10;8;10;0;8;2
"X9";17;14;17;0;14;3
"X10";16;9;11;2;3;8
"X11";15;11;14;1;12;3
"X13";16;12;16;0;15;1
"X14";12;11;12;0;8;4
"X16";21;15;21;0;12;9
"X17";19;14;19;0;15;4
"X19";14;9;14;0;8;6
"X20";20;15;20;0;14;6
"X21";16;12;15;1;13;3
"X22";15;12;14;1;13;2
"X27";17;15;17;0;11;6
"X28";22;16;22;0;16;6
"X29";18;14;18;0;15;3
"X30";19;15;18;1;15;4
"X36";24;15;23;1;13;11
"X37";23;17;19;0;8;11
"X38";19;14;18;1;13;6
"X39";22;13;21;1;15;7
"X43";22;14;21;0;9;12
"X44";23;16;22;1;14;9
"X45";19;12;15;2;4;11
"X46";13;6;10;1;2;8
"X47";19;15;19;0;14;5
"X48";19;10;15;3;8;8
"X51";15;12;15;0;12;3
"X52";19;13;18;1;15;4
"X53";18;13;18;0;12;6
"X55";13;11;13;0;9;4
"X56";18;13;14;2;2;12
"X57";19;13;14;2;2;12
"X58";24;15;24;0;16;8
"X60";19;15;14;1;9;5
"X61";15;13;14;1;14;1
"X62";21;12;21;0;15;6
"X63";19;16;19;0;15;4
"X65";19;11;18;1;14;5
"X69";24;16;23;1;19;5
"X71";16;11;15;1;13;3
"X74";13;9;10;1;4;6
"X75";17;13;13;2;3;10
"X76";18;16;18;0;15;3
"X79";18;14;18;0;16;2
"X80";19;12;15;3;7;9
"PE10";18;11;17;1;9;9
"PE11";20;18;19;1;12;8
"PE13.1";21;17;20;1;14;7
"PE13.2";25;18;24;1;18;7
"PE14";15;10;14;1;12;3
"PE20";22;17;21;1;17;5
"UECR1";16;11;15;1;12;4
"UECR2";15;11;15;0;14;1
"UECR3";11;7;10;1;4;6
