"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;15;0,101263212018629;4,10045069184347;0,674710060360307;0,774731506717625;0,687983824619145;0,163342556793256;3
"X3";5;15;0,082208031523151;5,73761494861314;0,791007059070372;0,366984557809047;0,565217391550095;0,229757792862984;5
"X4";13;25;0,0757445059093271;5,81022697160568;0,63213015188483;0,201960960868585;0,655390142743818;0,210536710765385;5
"X6";20;30;0,101976100650965;3,92052329961014;0,648717761052032;0,487578509925908;0,344530168465217;0,312283391550422;15
"X7";12;29;0,0960810063618265;4,02729167657648;0,615289910861336;0,409314896566063;0,655605230299474;0,356217444698947;4
"X8";13;23;0,103605489893415;3,89941988833934;0,50780631791811;0,415277845182859;0,684237267826087;0,384666420957044;3
"X9";7;26;0,10935748117486;3,91001407693275;0,593411096611701;0,49145082237952;0,32309675354275;0,446713498095083;9
"X10";28;39;0,0970120615528976;4,10671461505649;0,603371152826879;0,318206258589603;0,176443348774503;0,36295050626031;9
"X11";15;29;0,101140624390929;4,17204370669461;0,717671096105846;0,616748467810501;0,674929743651427;0,211882559883249;5
"X13";7;24;0,106786116831691;4,26651723990381;0,497897184060039;0,511750249503844;0,297441275121027;0,399498154255087;11
"X14";9;22;0,110461384119391;4,37253605920109;0,630591840320775;0,76629856864331;0,197094385057318;0,145526182754548;2
"X16";10;25;0,100378180859791;4,62947261830058;0,672975358133368;0,446651036162578;0,305748432104789;0,229330238409195;12
"X17";9;29;0,101612674408721;4,64844983758818;0,851086423254907;0,777354380973634;0,402692213660309;0,117996974668605;11
"X19";7;17;0,0983288611258652;3,94866594839422;0,581518543275063;0,765124285672256;0,753346462173913;0,158014883849216;5
"X20";7;21;0,105680005885072;4,31179218151033;0,666006801622825;0,829158979232151;0,284190846134186;0,077015020210452;13
"X21";8;25;0,112909358341044;4,03804820360073;0,611675368788252;0,786755429354279;0,516334120888258;0,181647280506669;6
"X22";4;20;0,12171574212409;4,1299705618856;0,583907443105641;0,611480208071623;0,449732692994959;0,23461811232009;9
"X27";9;23;0,104887235266962;3,99343299045332;0,580874915665836;0,809523430047086;0,800204917826087;0,178264966311168;7
"X28";10;27;0,0975113639550676;5,11485234450272;0,671360940318462;0,386994108190961;0,270746764931927;0,0616619404114177;10
"X29";10;33;0,122234898322062;3,98435771363531;0,488910656588076;0,509439461720002;0,361162539185447;0,295761492228006;8
"X30";10;27;0,0949731322164521;4,05793746627309;0,7455476696843;0,793884775749531;0,509813010719914;0,260536251349651;11
"X36";16;33;0,0967882977420641;4,3684760836309;0,597886287619169;0,767032722133484;0,399029561629438;0,0712684864277139;9
"X37";22;31;0,102447912462915;4,30477973506206;0,627082728278749;0,348713195230922;0,412262224603685;0,607437322242561;15
"X38";7;23;0,101453774233749;4,35311578611944;0,530255802126804;0,844544975788492;0,268080077011585;0,181440919041378;10
"X39";10;27;0,0970022170687188;4,61944343163827;0,754376450631578;0,36505209420302;0,295772610991095;0,0723086839957237;13
"X43";23;35;0,101181409785239;4,00522320621423;0,495900843922987;0,322793922733636;0,289123834993649;0,290841576883442;12
