"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";14;13;13;1;10;4
"X3";13;10;12;1;11;2
"X4";14;12;13;1;12;2
"X6";19;14;19;0;16;3
"X7";10;8;9;1;7;3
"X8";6;4;5;1;4;2
"X9";12;9;11;1;9;3
"X10";14;9;13;1;11;3
"X11";13;11;12;1;11;2
"X13";13;7;8;4;5;3
"X14";12;10;11;1;9;3
"X16";17;10;12;4;2;10
"X17";16;8;11;4;5;6
"X19";15;9;14;1;9;6
"X20";18;15;17;1;13;5
"X21";17;13;17;0;15;2
"X22";18;14;17;1;16;2
"X27";14;13;13;1;8;6
"X28";14;12;14;0;9;5
"X29";11;9;10;1;9;2
"X30";14;8;10;3;3;7
"X36";20;14;19;1;11;9
"X37";14;12;13;1;11;3
"X38";15;12;15;0;10;5
"X39";19;13;19;0;12;7
"X43";16;11;8;4;3;5
"X44";26;15;19;4;7;12
"X45";16;11;16;0;10;6
"X46";20;12;19;1;16;4
"X47";14;11;13;1;10;4
"X48";21;15;21;0;18;3
"X51";14;11;13;1;11;3
"X52";22;15;21;1;18;4
"X53";19;13;11;4;3;8
"X55";19;15;18;1;15;4
"X56";17;12;16;1;9;8
"X57";18;15;17;1;13;5
"X58";16;10;15;1;5;10
"X60";15;11;14;1;13;2
"X61";14;10;13;1;14;0
"X62";15;8;9;4;3;6
"X63";19;16;19;0;15;4
"X65";15;9;15;0;10;5
"X69";15;9;10;4;4;6
"X71";13;10;13;0;10;3
"X74";10;10;10;0;8;2
"X75";13;10;13;0;11;2
"X76";14;11;14;0;11;3
"X79";8;7;7;1;7;1
"X80";16;12;15;1;9;7
"PE10";19;10;19;0;11;8
"PE11";19;17;18;1;13;6
"PE13.1";19;16;19;0;13;6
"PE13.2";20;14;12;4;3;9
"PE14";16;12;15;1;13;3
"PE20";16;12;15;1;11;5
"UECR1";14;11;13;1;10;4
"UECR2";13;9;12;1;12;1
"UECR3";13;10;12;1;10;3
