"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;18;0,101449851362109;4,00379971482177;0,691427470704565;0,761966045298146;0,760787598826142;0,249626721100399;6
"X3";5;17;0,099312004505159;4,01898313816396;0,678896265391815;0,764980172727783;0,666666666888889;0,277863267863454;8
"X4";13;26;0,0949964002807863;3,9700547302744;0,649110945022041;0,499418460442715;0,735799109490533;0,260475468253041;7
"X6";4;22;0,0947565180432153;4,90832739414686;0,670462291294414;0,314176299818389;0,66745163666394;0,241766526481698;10
"X7";12;26;0,0949725880154882;4,41349648612936;0,857529888761647;0,780692585479538;0,735964009842691;0,133286593090578;1
"X8";13;21;0,100741358722301;4,31546144873836;0,775125801;0,785264179666667;0,757915238666667;0,211481978954594;1
"X9";7;22;0,103601530762977;4,61751179299755;0,772496766945828;0,69586248075778;0,667421403341876;0,166487629567184;5
"X10";17;34;0,104482566091611;4,19893921728721;0,696944859297751;0,594560336155681;0,669690025545031;0,207286049187776;6
"X11";15;30;0,105374703447273;3,89047599774692;0,561451226947221;0,805793632500268;0,692298902562254;0,204706045690922;7
"X13";14;21;0,106033288431089;4,34358104563618;0,551477258479696;0,615592969045039;0,675497544494377;0,34215270380241;9
"X14";9;22;0,1051081679621;3,97481791239228;0,738825079675138;0,83355868818512;0,680044488143127;0,133626432189596;2
"X16";16;19;0,0998312409543707;4,41706497444186;0,727231341722107;0,624643746586587;0,703402820062178;0,102839204780584;8
"X17";16;22;0,102761593141121;4,47846008730284;0,772859850146363;0,786191706378372;0,679482593827711;0,100894953816885;9
"X19";7;18;0,0957419931181271;3,88750395369006;0,702845737193962;0,766597084945458;0,810898954333333;0,104284171997251;6
"X20";7;25;0,0950820422483707;4,59648837695993;0,688708831272058;0,765642959543039;0,38558722783811;0,0789839302924123;12
"X21";8;28;0,107493731420582;4,46580992186114;0,592043415001634;0,778738105397929;0,187011514570587;0,131359866505287;9
"X22";4;26;0,112434092925987;3,99991470360494;0,513269196208071;0,510772852893654;0,432788684229747;0,236702709075711;12
"X27";9;21;0,0981506604796469;4,19725471702525;0,726666571529372;0,863418574714544;0,846823770333333;0,0638390549794683;6
"X28";10;30;0,0963541523911974;4,00540338350126;0,569397718709224;0,6537835493714;0,666669273180014;0,248013025881442;5
"X29";10;25;0,105009304703194;3,92388611306734;0,702624459762197;0,766974182907267;0,701475894916445;0,237799049126824;4
"X30";18;23;0,176950486356083;6,79478306584091;0,552359344809144;0,817290177898676;0,751762476325844;0,0549803636881404;8
"X36";16;29;0,0956324238912986;4,08550940535581;0,711962157426024;0,781628332755292;0,673469484371816;0,282517544672014;8
"X37";10;22;0,100217398572648;4,08046680184675;0,591232247103331;0,766670258885295;0,621044113974402;0,169628365315049;8
"X38";7;19;0,0993355101509852;4,49439991947043;0,596714394989985;0,886953596617169;0,477801488250259;0,120623524627376;7
"X39";10;24;0,0996573058899455;4,18340351145959;0,577558181257645;0,424215605471008;0,183009833727942;0,0903922761998475;11
"X43";21;30;0,150473313117908;4,69152268327764;0,697152153811671;0,622394882683815;0,697100222642291;0,259377087646036;10
"X44";23;30;0,101038346507018;4,13274845804671;0,885243754947565;0,39053176697016;0,678785444209353;0,0641776117285155;13
"X45";12;30;0,100452399763162;3,89213467450602;0,676281300208399;0,704787771819978;0,713314204331836;0,107368067231214;7
"X46";7;26;0,0961294387559502;5,08208026321384;0,632052037738216;0,267554716059189;0,202964242642059;0,112701119803674;16
"X47";12;28;0,0961706052274077;3,97512861091647;0,888641215869185;0,858530217716257;0,672127645039573;0,0612401127316163;4
"X48";5;27;0,0977421923001809;4,47135873756018;0,559158451093321;0,792937906196264;0,418042452117539;0,198346258707294;11
"X51";3;17;0,106149626546238;3,93944407406734;0,73133944109553;0,777804956573934;0,683736608916445;0,194289613301072;3
"X52";7;29;0,0983372955205726;3,96730806487819;0,598821882689433;0,791475615367393;0,352536445550931;0,171081559088501;15
"X53";17;23;0,121961386899353;4,73144681450815;0,823042609377389;0,764188871224614;0,692810269874658;0,10506839606679;10
"X55";9;30;0,0976161021568308;4,32926749192762;0,58150428616574;0,783061688149261;0,415524061210463;0,186513167156646;11
"X56";13;25;0,0957666512827112;4,62215262205136;0,589454039626187;0,252515497814203;0,67925020947254;0,859837927228432;8
"X57";11;24;0,0959175666394557;4,05193924086402;0,752433901009823;0,668452437798013;0,675004417072167;0,170769946356878;10
"X58";20;27;0,0950496984760285;4,09980436947427;0,904579798676886;0,777927622307026;0,56462546839866;0,0800381166895882;7
"X60";10;26;0,101859298834822;4,58321418984719;0,789985774214987;0,766145653703256;0,734504037609072;0,117402877230616;5
"X61";7;24;0,10824997599771;4,60431829318739;0,733170958955159;0,781947414077212;0,687571423765164;0,116225506792149;5
"X62";14;19;0,102667922906606;4,59707236117603;0,737520758203693;0,421213677658102;0,693862639806388;0,293472139675773;9
"X63";7;25;0,0957678654569473;4,34276406180804;0,672824680677903;0,560039779978202;0,221312476302073;0,0638012121536492;9
"X65";8;19;0,105992245686045;4,50662083467347;0,565381855289436;0,414177230892442;0,363148704900762;0,26240008049109;8
"X69";14;22;0,108772110223481;4,04211648065021;0,543537587327542;0,53761288289091;0,672132719051755;0,296585949254844;7
"X71";7;20;0,10771153671064;3,99383297830563;0,529876911457747;0,804603118988185;0,667563100757659;0,114898874619591;4
"X74";4;18;0,101454988532445;6,60713123101163;0,720697187111994;0,763059118053885;0,171389108370711;0,219533638847138;3
"X75";8;21;0,109092802546323;3,96101331172676;0,485309160056173;0,408328802340839;0,690408028483485;0,492624968206573;7
"X76";4;17;0,103085127717915;4,16859490938043;0,55036530588461;0,335761719476948;0,671885608380288;0,51089518195855;7
"X79";3;14;0,110238295297063;3,98548016623322;0,775376651128279;0,78913810928861;0,583831958820992;0,186404984323228;4
"X80";10;24;0,0973256895773783;3,92634681325777;0,757290196542516;0,814803909683676;0,709346228584543;0,075291329139583;3
"PE10";10;28;0,095666582394037;3,91349826012377;0,660725066047237;0,7719038358882;0,550736629559012;0,0521380866610562;8
"PE11";21;38;0,0963351818296311;3,96409056615326;0,518355578906254;0,823734748296405;0,717169448434054;0,0848373034687714;6
"PE13.1";12;28;0,0980045827278561;4,05789265709879;0,610433346160073;0,808384525179221;0,572236079252714;0,139326063945895;5
"PE13.2";22;26;0,134003860534904;4,70789252103622;0,802317743509177;0,781804852036744;0,706363513070416;0,0861512128714009;10
