"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;14;0,101984405077112;4,49308291238582;0,83858820972913;0,792752986165798;0,712945118629644;0,139531198100217;2
"X3";5;18;0,0976912036484523;3,76408355624379;0,757936359321356;0,629203269899051;0,60000000024;0,244418460347837;8
"X4";13;27;0,0961341272535629;3,90528755075367;0,52921372408499;0,47613690451652;0,682958931346367;0,384767643417067;6
"X6";4;28;0,111253673611554;4,1174148700611;0,589242506064109;0,46644312487681;0,363153232835711;0,213499432623874;11
"X7";12;31;0,0991510890158195;4,01232534691644;0,740733507534625;0,66248022788512;0,683156811853475;0,144092661103278;6
"X8";13;25;0,096615397782887;3,99188544411493;0,639150265048181;0,529402485364099;0,7094982864;0,260686253412229;5
"X9";28;37;0,0979601565658621;4,04218944504803;0,666626165650025;0,489892743875145;0,375056507915395;0,264984091778555;16
"X10";26;38;0,10644443573481;4,06267949820281;0,488063954686358;0,280738571381871;0,269629955472116;0,304241147912303;8
"X11";15;29;0,10385980851171;4,24656541386672;0,502533742583895;0,764097342668758;0,40085174436951;0,226153332416562;6
"X13";7;20;0,104320113366946;3,98070648461023;0,541557954450985;0,598397557087233;0,50274643299009;0,427600632388263;8
"X14";9;27;0,107777021049989;4,0780950333027;0,60700992690746;0,770259890306923;0,538264057699357;0,216863045901789;8
"X16";10;25;0,0997709573341245;4,0728679777454;0,662114268420192;0,529430708121737;0,406332261047665;0,132459761528721;11
"X17";9;22;0,0998979535387237;4,30291837749867;0,737587579144402;0,769886426131486;0,260985039125976;0,060699261631631;9
"X19";7;18;0,0976299902604996;4,22426188816453;0,715177936825997;0,798081675324841;0,7730787452;0,116163680190315;6
"X20";7;24;0,0983858058469347;4,50950414413055;0,740419508691748;0,796505068938083;0,29666689231964;0,0938123060163409;15
"X21";8;26;0,098153151116229;5,44414743461983;0,639810983481618;0,797200532403761;0,273138903776243;0,167052620973504;8
