"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";10;9;9;1;6;4
"X3";13;10;12;1;11;2
"X4";13;13;13;0;11;2
"X6";21;15;20;1;18;3
"X7";17;13;16;1;14;3
"X8";11;8;10;1;9;2
"X9";23;15;18;3;4;14
"X10";18;11;12;3;6;6
"X11";16;12;16;0;13;3
"X13";13;11;12;1;12;1
"X14";18;16;17;1;14;4
"X16";20;15;19;1;11;9
"X17";17;10;16;1;13;4
"X19";15;10;15;0;9;6
"X20";21;16;21;0;16;5
"X21";18;14;17;1;15;3
"X22";17;15;16;1;15;2
"X27";13;12;12;1;7;6
"X28";26;20;25;1;20;6
"X29";21;16;20;1;18;3
"X30";22;16;17;2;5;12
"X36";24;16;23;1;13;11
"X37";24;18;23;1;19;5
"X38";16;12;16;0;10;6
"X39";21;15;21;0;14;7
"X43";21;15;20;1;18;3
"X44";20;15;17;0;3;14
"X45";21;15;21;0;14;7
"X46";13;9;13;0;8;5
"X47";20;13;15;4;7;8
"X48";22;15;22;0;19;3
"X51";20;13;14;4;5;9
"X52";23;17;22;1;19;4
"X53";21;16;20;1;15;6
"X55";12;8;12;0;3;9
"X56";22;16;22;0;14;8
"X57";17;13;16;1;11;6
"X58";22;14;22;0;15;7
"X60";19;12;14;4;7;7
"X61";17;13;16;1;16;1
"X62";16;10;12;1;5;7
"X63";16;11;16;0;12;4
"X65";17;9;17;0;12;5
"X69";23;14;14;6;4;10
"X71";15;12;14;1;12;3
"X74";11;9;10;1;9;2
"X75";20;16;17;1;5;12
"X76";24;17;20;1;9;11
"X79";18;14;17;1;16;2
"X80";17;13;17;0;10;7
"PE10";18;11;18;0;9;9
"PE11";21;17;20;1;13;8
"PE13.1";20;17;20;0;14;6
"PE13.2";18;13;18;0;11;7
"PE14";17;12;16;1;14;3
"PE20";15;12;14;1;10;5
"UECR1";18;16;17;1;14;4
"UECR2";11;9;11;0;10;1
"UECR3";11;9;11;0;8;3
