"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";10;9;9;1;6;4
"X3";12;9;12;0;10;2
"X4";11;10;11;0;9;2
"X6";15;11;14;1;12;3
"X7";15;12;15;0;12;3
"X8";11;9;11;0;9;2
"X9";12;9;11;1;9;3
"X10";25;15;18;3;7;11
"X11";18;11;15;3;6;10
"X13";19;15;18;1;18;1
"X14";16;15;16;0;12;4
"X16";26;18;25;1;17;9
"X17";18;12;18;0;14;4
"X19";18;12;17;1;12;6
"X20";20;15;20;0;15;5
"X21";13;11;13;0;11;2
"X22";16;11;16;0;14;2
"X27";15;14;15;0;9;6
"X28";25;18;24;1;19;6
"X29";16;13;15;1;13;3
"X30";16;9;12;2;4;8
"X36";19;12;17;1;4;13
"X37";16;14;15;1;11;5
"X38";18;14;18;0;12;6
"X39";21;12;20;1;14;7
"X43";20;15;19;1;17;3
"X44";18;13;16;1;5;11
"X45";20;13;20;0;13;7
"X46";17;11;17;0;12;5
"X47";16;13;13;2;7;7
"X48";17;12;17;0;14;3
"X51";18;13;13;4;6;7
"X52";20;14;19;1;16;4
"X53";21;14;21;0;15;6
"X55";11;8;11;0;7;4
"X56";16;12;14;1;3;11
"X57";18;14;18;0;12;6
"X58";28;19;27;1;21;7
"X60";17;12;16;1;13;4
"X61";13;11;13;0;12;1
"X62";20;11;14;3;2;12
"X63";20;14;20;0;16;4
"X65";20;11;19;1;15;5
"X69";16;10;16;0;11;5
"X71";13;10;13;0;10;3
"X74";10;9;10;0;8;2
"X75";15;13;14;1;5;9
"X76";25;13;18;5;5;13
"X79";11;9;10;1;9;2
"X80";19;14;18;1;12;7
"PE10";19;10;19;0;10;9
"PE11";22;18;22;0;14;8
"PE13.1";19;16;19;0;13;6
"PE13.2";21;15;20;1;14;7
"PE14";15;11;14;1;12;3
"PE20";14;11;13;1;9;5
"UECR1";15;13;14;1;11;4
"UECR2";13;10;9;2;5;4
"UECR3";14;11;14;0;11;3
