"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";12;11;11;1;8;4
"X3";9;5;7;1;4;3
"X4";17;15;16;1;15;2
"X6";17;12;13;1;7;6
"X7";13;10;12;1;10;3
"X8";9;7;8;1;7;2
"X9";21;16;21;0;18;3
"X10";14;9;10;1;4;6
"X11";14;13;13;1;12;2
"X13";17;8;11;3;4;7
"X14";16;12;15;1;12;4
"X16";17;13;17;0;8;9
"X17";20;15;20;0;16;4
"X19";13;8;12;1;7;6
"X20";22;18;21;1;17;5
"X21";18;15;18;0;16;2
"X22";22;16;16;1;5;11
"X27";16;14;15;1;10;6
"X28";25;18;24;1;19;6
"X29";15;12;11;1;6;5
"X30";14;9;12;2;3;9
"X36";18;11;17;1;8;10
"X37";15;12;14;1;11;4
"X38";18;14;17;1;12;6
"X39";22;14;22;0;15;7
"X43";22;18;22;0;19;3
"X44";22;13;17;4;4;13
"X45";17;12;17;0;11;6
"X46";13;8;13;0;8;5
"X47";18;12;17;1;14;4
"X48";27;14;21;3;8;13
"X51";25;19;24;1;22;3
"X52";20;12;19;1;16;4
"X53";18;14;17;1;12;6
"X55";15;10;15;0;11;4
"X56";19;12;14;4;2;12
"X57";19;15;18;1;13;6
"X58";18;8;13;4;2;11
"X60";18;13;18;0;15;3
"X61";18;12;12;3;8;4
"X62";18;8;13;4;2;11
"X63";15;11;11;1;4;7
"X65";15;8;11;1;3;8
"X69";15;12;14;1;10;5
"X71";18;12;12;3;6;6
"X74";16;10;12;3;5;7
"X75";17;13;16;1;15;2
"X76";22;13;14;5;3;11
"X79";14;11;13;1;13;1
"X80";21;15;20;1;14;7
"PE10";20;9;14;3;3;11
"PE11";19;16;19;0;12;7
"PE13.1";22;18;22;0;16;6
"PE13.2";25;18;24;1;18;7
"PE14";17;12;16;1;14;3
"PE20";16;12;16;0;11;5
"UECR1";15;12;11;1;4;7
"UECR2";9;7;9;0;8;1
"UECR3";14;11;14;0;11;3
