"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;11;11;0;7;4
"X3";8;6;8;0;6;2
"X4";16;14;15;1;14;2
"X6";21;15;18;1;9;9
"X7";21;16;20;1;18;3
"X8";15;13;15;0;11;4
"X9";22;11;14;7;3;11
"X10";22;13;19;1;6;13
"X11";14;10;14;0;10;4
"X13";15;12;15;0;14;1
"X14";14;12;14;0;10;4
"X16";22;18;22;0;13;9
"X17";20;12;19;1;16;4
"X19";16;11;16;0;10;6
"X20";18;15;18;0;12;6
"X21";16;12;16;0;13;3
"X22";16;9;10;5;5;5
"X27";17;14;16;1;10;7
"X28";20;17;20;0;14;6
"X29";18;14;17;1;15;3
"X30";20;10;13;5;5;8
"X36";25;17;24;1;14;11
"X37";19;15;18;1;14;5
"X38";24;19;23;1;18;6
"X39";16;10;15;1;9;7
"X43";19;12;17;1;6;11
"X44";17;13;17;0;8;9
"X45";19;12;18;1;12;7
"X46";15;8;12;2;3;9
"X47";23;17;22;1;17;6
"X48";19;14;18;1;16;3
"X51";22;15;21;1;19;3
"X52";17;13;17;0;13;4
"X53";17;14;17;0;11;6
"X55";15;11;15;0;11;4
"X56";14;11;14;0;6;8
"X57";27;19;26;1;20;7
"X58";25;16;24;1;17;8
"X60";23;18;22;1;19;4
"X61";15;11;14;1;14;1
"X62";15;9;11;2;3;8
"X63";19;14;18;1;15;4
"X65";16;7;9;4;2;7
"X69";17;13;16;1;12;5
"X71";18;14;17;1;15;3
"X74";18;14;18;0;16;2
"X75";21;14;16;2;5;12
"X76";15;12;15;0;12;3
"X79";16;7;12;3;3;9
"X80";26;21;21;0;8;13
"PE10";20;11;19;1;11;9
"PE11";21;17;20;1;13;8
"PE13.1";22;17;21;1;15;7
"PE13.2";17;13;17;0;10;7
"PE14";15;9;14;1;12;3
"PE20";18;14;17;1;13;5
"UECR1";23;14;19;4;7;12
"UECR2";15;9;14;1;14;1
"UECR3";14;12;14;0;11;3
