"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;18;0,115014645731622;3,69955429776071;0,639526866675049;0,56296209966317;0,447971382387736;0,413615752888211;6
"X3";5;14;0,0976480834566079;4,66683224125962;0,646436282949754;0,432517369718269;0,230769230946746;0,508535733769935;5
"X4";13;24;0,0914416244603625;4,12321505062195;0,349128210922964;0,291973997120587;0,390305636754316;0,451732880322566;5
"X6";4;19;0,124154374381707;3,89554446740532;0,512464856727241;0,441913333612597;0,285036747203006;0,421279740333032;6
"X7";12;28;0,0988599442407465;3,96487293818616;0,49812137081266;0,398175674370091;0,390686177091252;0,322085622640209;3
"X8";13;25;0,118529707738115;3,66079065153429;0,417131727286331;0,472007384296987;0,441342858461539;0,463025190903499;5
"X9";7;23;0,117613623264601;3,92863855358135;0,527516013691505;0,275806800357731;0,226841471673714;0,493171184931751;6
"X10";17;34;0,125597955632523;3,88248518674722;0,310576221733741;0,3684844643751;0,206244859927476;0,466623935526026;4
"X11";15;31;0,112927812195883;3,88775659186924;0,520266594574309;0,533363700289868;0,340657898521496;0,472810250601004;8
"X13";7;16;0,116534565635778;4,17779673882892;0,324561055667754;0,345316154439067;0,277809988311547;0,755547613717265;4
"X14";9;23;0,117897176767941;4,55165496148901;0,50450247265659;0,424274634381824;0,270959639108735;0,3539789632191;6
"X16";10;19;0,094732388452004;4,72323261197588;0,767039182528778;0,398442000078909;0,184079251549484;0,110998465566343;7
"X17";9;18;0,104219695361652;4,57686167624364;0,870006203427822;0,883666777380581;0,282662659822514;0,0921633587822829;5
"X19";7;15;0,0914973690373248;4,06778518411822;0,418240873128731;0,666089441738816;0,563612971538462;0,0362000148799144;3
"X20";7;14;0,101278711241716;4,74764027189293;0,818987099273282;0,79804881821479;0,220791251860657;0,0784040964454031;4
"X21";18;27;0,0969381243312331;4,78627274234184;0,362579098714265;0,607787582995066;0,138927697961132;0,411591313988156;8
"X22";11;19;0,123779015466214;3,96812320130142;0,332814364246288;0,248009608697567;0,0223497300458839;0,538574302287876;10
"X27";11;17;0,118605443835427;4,51502109546663;0,483475947547913;0,826089362081279;0,646516393076923;0,180379065927935;2
"X28";10;21;0,0972093220282843;4,85822525304651;0,656684605752695;0,516556149674144;0,207526432028725;0,126905876764716;4
"X29";10;25;0,119369452731326;4,21655203078678;0,334071744831397;0,325214192057275;0,251303183598259;0,569571149992538;7
"X30";10;21;0,0963313975593919;4,16963028697616;0,788737616464519;0,811258125641833;0,413977930014113;0,0801164276474331;7
"X36";16;27;0,0947032963815552;3,904808531255;0,73476284728043;0,646689193719478;0,421391648280521;0,226529568893021;7
"X37";19;22;0,10248496908275;4,09014167996318;0,653723195830672;0,427491277941058;0,113257228326177;0,450026965365409;9
"X38";7;23;0,0681249209531517;4,75040884331286;0,622840330047972;0,807545496632322;0,155030619798038;0,123847227087424;11
"X39";14;17;0,0998840946273993;4,58405337673807;0,541763184046148;0,274853418805458;0,332353979391143;0,107062221912338;4
"X43";19;28;0,121463866493252;4,25575962523094;0,375194332768854;0,297730419495227;0,229198090984707;0,50508384481682;8
"X44";12;22;0,0666260490713492;5,72560830285199;0,796952873825601;0,307003981265269;0,501669901148622;0,110279219054504;5
"X45";12;24;0,106102590646504;4,20702263356869;0,834910457777918;0,433461929630222;0,392228860291271;0,200527662857845;7
"X46";11;12;0,0648473076675461;4,63076184953363;0,354847419456638;0,0969207289053812;0,0955388038287495;0,116419292744506;5
"X47";20;32;0,095785579842707;4,72147483301489;0,739235906162962;0,599687411936726;0,412699393955436;0,185940021849468;8
"X48";10;22;0,0961340438063758;5,78580938345097;0,385870919303318;0,860623192581768;0,23597746743317;0,114136275577438;9
"X51";9;18;0,126803248322197;3,9838258774456;0,48952403418528;0,349369138492634;0,259794394097067;0,435314012077544;7
"X52";14;17;0,0958657753561264;4,68209822201809;0,508720049911639;0,818938979836315;0,127093442349278;0,0742877989143112;7
"X53";11;19;0,105591278586783;5,05864217709671;0,504267157132601;0,72503035065405;0,337634446972656;0,30569466891157;5
"X55";9;23;0,0685488149939705;4,97430946046329;0,890731598042304;0,678245393187147;0,28597309940673;0,120898619728718;10
"X56";13;21;0,0799939106509904;5,34347920792354;0,731124601039201;0,285816030624221;0,407114188825876;0,406021114370338;5
"X57";11;22;0,0973499776693989;4,449063545841;0,76559818534908;0,515003918757745;0,371625226143602;0,0941644198671329;8
"X58";14;23;0,0973175217192758;4,51160218222712;0,86673815181802;0,398999554968601;0,302776104994943;0,110724863928412;3
"X60";14;27;0,106719156706259;4,22737246739719;0,60429738870771;0,50449296561521;0,313091216507212;0,373925928705343;7
"X61";7;23;0,132037069592809;3,9181371021984;0,368326621243772;0,558699401204746;0,225437457161488;0,366759585802988;6
"X62";7;16;0,0633887315122491;3,93541681675392;0,916859306706069;0,459043057982605;0,531951114247209;0,119204157556729;6
"X63";16;24;0,0730052314223631;4,10909349280481;0,520707866350156;0,493486443321156;0,325463784958468;0,0948697213596093;6
"X65";8;20;0,0590119843609314;4,73676075494211;0,611453828756966;0,274899328501948;0,230594076192197;0,0819664155514749;8
"X69";8;23;0,118596473066994;3,92369464536137;0,352330744623806;0,190811187803608;0,109899879505412;0,554080510417958;8
"X71";7;19;0,0810960625762115;4,28787963244568;0,540733601954553;0,5617058722878;0,682904000645507;0,0941753282903217;5
"X74";14;22;0,139418494659107;3,8971199520749;0,351957185071198;0,441295319514687;0,3738726473929;0,436309460789808;10
"X75";12;19;0,137601496476175;4,35110206989077;0,276715265031264;0,292435404412127;0,207346457330875;0,489791848260358;5
"X76";11;19;0,125899792536077;4,10293469401104;0,373389979388846;0,148403516708964;0,154068872335781;0,540834881424482;8
"X79";3;14;0,114911212668684;4,39885316321478;0,4949064717099;0,46526583527159;0,1804906124743;0,493778398921267;8
"X80";15;24;0,0947983449474334;4,43843782275152;0,513071951841213;0,409867221265873;0,392758918288769;0,233978315894115;7
