"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";15;13;14;1;11;4
"X3";11;8;11;0;8;3
"X4";13;12;12;1;10;3
"X6";21;17;21;0;18;3
"X7";20;15;19;1;17;3
"X8";10;9;10;0;6;4
"X9";17;13;16;1;14;3
"X10";24;14;20;1;8;12
"X11";18;13;17;1;12;6
"X13";18;14;17;1;17;1
"X14";23;17;19;2;8;11
"X16";19;12;16;2;2;14
"X17";17;12;17;0;13;4
"X19";16;11;16;0;10;6
"X20";18;13;17;1;12;6
"X21";15;9;12;2;7;5
"X22";16;13;16;0;14;2
"X27";20;17;19;1;13;7
"X28";17;13;17;0;11;6
"X29";22;17;21;1;19;3
"X30";20;14;19;1;15;5
"X36";22;14;21;1;5;16
"X37";18;15;17;1;13;5
"X38";18;16;18;0;12;6
"X39";24;15;20;1;4;16
"X43";23;16;20;2;6;14
"X44";23;17;23;0;14;9
"X45";23;13;16;5;6;10
"X46";12;5;9;2;2;8
"X47";22;17;21;1;16;6
"X48";18;13;17;1;15;3
"X51";22;16;15;6;8;7
"X52";16;12;16;0;12;4
"X53";10;8;9;0;3;6
"X55";15;10;14;1;10;5
"X56";20;18;20;0;12;8
"X57";22;17;22;0;14;8
"X58";22;15;22;0;14;8
"X60";17;12;17;0;13;4
"X61";20;12;14;3;9;5
"X62";17;10;16;1;10;7
"X63";19;13;16;0;4;12
"X65";19;11;11;4;3;8
"X69";18;15;18;0;13;5
"X71";13;11;13;0;10;3
"X74";13;11;13;0;11;2
"X75";14;12;14;0;12;2
"X76";14;8;10;4;3;7
"X79";20;15;13;3;5;8
"X80";19;12;19;0;11;8
"PE10";25;15;24;1;16;9
"PE11";23;18;18;3;8;11
"PE13.1";22;16;18;2;8;10
"PE13.2";18;12;17;1;11;7
"PE14";14;10;14;0;11;3
"PE20";17;13;16;1;11;6
"UECR1";18;15;18;0;14;4
"UECR2";14;8;11;2;8;3
"UECR3";20;12;15;3;7;8
