"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;19;0,0960678206017027;4,31503239704491;0,733423935630025;0,512441380809788;0,641181398358819;0,200770978176238;7
"X3";5;14;0,108012171462304;3,63257264216891;0,717190125466133;0,656585104265516;0,50000000025;0,214308861860807;5
"X4";13;24;0,0959754316325586;3,69177429362712;0,516406211091788;0,4942918874834;0,603698664103699;0,227894825470997;5
"X6";4;25;0,113697975569875;3,94848431731219;0,573765032710972;0,370227689406802;0,40332442426967;0,304366113341461;11
"X7";12;32;0,0970552750737441;4,1911724876094;0,680232599407401;0,552485385842733;0,603946014896054;0,223534861725029;6
"X8";13;22;0,095375762573007;3,99213957214845;0,493632261797917;0,193180653276815;0,636872858;0,263965466230634;2
"X9";7;29;0,112815350659019;4,05487880879088;0,625697784579194;0,365654473515153;0,273577418867394;0,314537185102197;6
"X10";32;44;0,103100904730307;3,89068458856968;0,506583860950814;0,532971663052144;0,290757596445614;0,327392058326498;12
"X11";15;32;0,113212999546797;4,10054439396025;0,613683184559667;0,472198318859333;0,264436885116753;0,25231211790405;6
"X13";7;25;0,112439099937524;4,45608904716725;0,497094311668704;0,461879657314014;0,355029303429381;0,436578436861195;12
"X14";22;33;0,106621109730726;4,04076845894476;0,512560600708395;0,433975393498147;0,259308817491574;0,226967200939738;12
"X16";19;21;0,096750465369115;4,21086118150625;0,612774574876475;0,350939984052509;0,366937300468051;0,069304750165546;8
"X17";9;28;0,0989699451540463;4,28710831774695;0,852885146588317;0,776081607061423;0,316139722368675;0,0546798657584532;9
"X19";7;19;0,0960076035306479;3,98816035292155;0,610296060152419;0,76181178143933;0,7163484315;0,140036351435116;7
"X20";7;20;0,100507900386962;4,69507101846576;0,768912551572902;0,804052521647171;0,280112179433072;0,0893376850955333;11
"X21";15;24;0,115284373207992;4,93111214737733;0,613918760236812;0,779921507571548;0,442517652079397;0,229467712994962;6
"X22";4;21;0,123150467271353;4,600301798425;0,508437994733735;0,301977170556218;0,129217180825806;0,328510564809822;10
"X27";9;24;0,0949086203292242;4,27134974058271;0,504879787949711;0,794277826115054;0,7702356555;0,110171151389866;9
"X28";10;26;0,100498100609333;4,72659813733646;0,688944599362306;0,484807854764829;0,339801062811477;0,246545983489887;6
