"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;9;10;1;7;4
"X3";12;8;12;0;9;3
"X4";16;14;15;1;13;3
"X6";18;13;18;0;15;3
"X7";18;14;18;0;13;5
"X8";13;10;12;1;9;4
"X9";13;9;13;0;9;4
"X10";16;10;15;1;12;4
"X11";24;17;22;1;9;13
"X13";14;7;9;4;5;4
"X14";19;16;18;1;15;4
"X16";21;13;20;1;11;10
"X17";19;13;18;1;15;4
"X19";15;10;15;0;9;6
"X20";18;15;18;0;12;6
"X21";12;9;12;0;8;4
"X22";19;13;15;2;6;9
"X27";16;13;15;1;9;7
"X28";18;12;18;0;11;7
"X29";22;16;21;1;19;3
"X30";13;10;11;1;3;8
"X36";27;18;27;0;15;12
"X37";18;16;17;1;13;5
"X38";17;13;17;0;11;6
"X39";16;11;14;0;3;11
"X43";21;14;14;4;8;7
"X44";21;16;20;1;12;9
"X45";19;12;18;1;10;9
"X46";15;6;11;4;2;9
"X47";25;19;24;1;15;10
"X48";13;9;13;0;10;3
"X51";18;15;15;1;5;10
"X52";17;11;16;1;13;4
"X53";14;11;12;1;3;9
"X55";9;6;9;0;4;5
"X56";22;17;22;0;12;10
"X57";23;18;23;0;12;11
"X58";20;13;19;1;11;9
"X60";20;14;19;1;14;6
"X61";18;14;18;0;17;1
"X62";15;10;13;1;3;10
"X63";19;14;13;2;5;8
"X65";15;8;13;1;4;9
"X69";15;10;12;2;3;9
"X71";17;13;12;1;6;6
"X74";18;11;14;2;6;8
"X75";16;12;15;1;14;2
"X76";14;12;14;0;11;3
"X79";12;11;12;0;10;2
"X80";25;19;25;0;17;8
"PE10";21;12;21;0;12;9
"PE11";25;18;25;0;14;11
"PE13.1";21;18;21;0;14;7
"PE13.2";20;16;19;1;12;8
"PE14";16;10;15;1;13;3
"PE20";20;14;20;0;14;6
"UECR1";22;17;21;1;18;4
"UECR2";16;10;16;0;15;1
"UECR3";18;14;16;2;9;7
