"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;11;11;0;7;4
"X3";11;6;10;1;8;3
"X4";12;11;12;0;8;4
"X6";22;13;18;3;10;8
"X7";20;16;19;1;15;5
"X8";14;12;14;0;9;5
"X9";16;13;16;0;12;4
"X10";20;14;17;0;8;9
"X11";19;14;19;0;11;8
"X13";12;8;11;1;4;7
"X14";18;15;18;0;13;5
"X16";24;15;23;1;14;10
"X17";18;11;17;1;14;4
"X19";13;7;12;1;7;6
"X20";16;13;16;0;10;6
"X21";20;12;17;2;9;8
"X22";16;11;15;1;14;2
"X27";18;16;17;1;11;7
"X28";16;12;15;1;8;8
"X29";21;16;20;1;16;5
"X30";20;12;15;4;4;11
"X36";21;14;21;0;8;13
"X37";15;12;15;0;10;5
"X38";19;16;18;1;13;6
"X39";19;13;17;1;3;14
"X43";18;16;18;0;15;3
"X44";20;14;20;0;10;10
"X45";21;14;20;1;12;9
"X46";21;13;20;1;15;6
"X47";27;20;27;0;16;11
"X48";18;11;14;3;8;6
"X51";17;10;16;0;7;9
"X52";13;8;11;0;4;7
"X53";13;10;13;0;6;7
"X55";18;12;18;0;13;5
"X56";17;11;17;0;7;10
"X57";18;15;18;0;7;11
"X58";25;15;25;0;15;10
"X60";19;13;18;1;13;6
"X61";17;12;13;2;8;5
"X62";16;11;16;0;9;7
"X63";15;13;15;0;10;5
"X65";17;11;17;0;11;6
"X69";18;12;15;2;5;10
"X71";15;11;14;1;12;3
"X74";11;10;11;0;9;2
"X75";19;15;19;0;15;4
"X76";12;11;12;0;9;3
"X79";14;11;14;0;6;8
"X80";27;17;22;3;9;13
"PE10";19;10;19;0;10;9
"PE11";26;20;22;1;7;15
"PE13.1";27;19;23;2;12;12
"PE13.2";20;16;20;0;11;9
"PE14";17;13;17;0;13;4
"PE20";17;13;16;1;7;10
"UECR1";21;17;20;1;16;5
"UECR2";12;9;12;0;11;1
"UECR3";19;15;18;1;15;4
