"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,077388818466206;0;0;0;0;0;0;0;0;0,0222556080816331;0;0;0;0;0;0;0;0;0;0;0;0,0789062461083113;0;0;0;0;0;0;0;0;0,0382391806498436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0567517997726093;0;0;0;0;0,0799778213004621;0;0;0;0;0;0,127767421706031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,229156817893925;0;0;0;0;0;0,0789062461083113;0;0,0145154074823559;0,196134632430311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0,0276822132924275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,026396142001876;0;0;0;0,0145955140834911;0;0,0555871694498404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,131013835864302;0;0;0;0,047196057150234;0;0;0;0;0;0;0;0;0;0;0;0;0,29077921059354;0;0;0;0;0;0,250504562649297;0;0;0,0645821733201408;0;0,074530282876463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0171328387183879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0235382726287892;0,136816211835299;0;0;0;0,0161825628498278;0;0,011769136685537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,151527632135507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0817076882645183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0261009072236861;0;0;0;0;0,261221416185144;0;0;0;0;0;0;0;0,0148293660706902;0,200376893792669;0;0;0;0;0,0379649561641666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0379649561641666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0,0124620816313252;0;0;0;0;0;0;0;0;0,0563906415272011;0;0;0;0;0;0;0;0;0,0483348356991107;0;0;0;0;0;0,0542806548825756;0;0;0;0,014473665634616;0;0;0;0;0,0622815705081767;0;0;0;0;0;0,0222379346983237;0;0,0317631252817867;0;0;0;0;0,0209445286703789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0293217326873091;0;0;0;0;0;0,0626315247521152;0;0,0563683723499605;0;0;0;0;0;0;0;0;0;0,0304806751699332;0,0168449855812294;0;0;0;0,273853466902696;0;0;0,066806959686885;0;0;0;0;0,0104163670226;0;0;0;0;0;0,0167017397390792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0605438072847303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0106706917638773;0;0;0,0165209832639036;0;0;0;0;0;0;0;0,0256696552621869;0;0;0;0
"X7";0;0;0;0;0,117876711906377;0;0;0;0;0;0;0;0;0;0;0,0252907009521276;0;0;0;0;0;0;0,0287852370757629;0;0;0,089234235760759;0;0;0,0183505889267387;0;0;0,0183505889267387;0;0;0,012953357021959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0140328032527524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0478679464663725;0;0,0226683746007251;0;0;0;0;0;0;0;0;0;0,0302244989670917;0;0;0;0;0,197776197059452;0;0;0,0415984677167271;0;0;0;0;0,0973338803514911;0,0312214443027244;0;0,0215889276191191;0;0;0,0183505889267387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0174523032059079;0,113773650294643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0352694966657927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,218329646335778;0;0;0;0;0;0;0;0;0,0794006932088649;0;0;0;0;0,0167747939594374;0;0;0;0;0;0;0;0;0;0,0239334647338828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0288488090237087;0;0;0;0;0;0,0662997254980216;0;0,0696634771045848;0;0,0223609626254171;0;0;0;0;0;0;0;0;0,0106845824838827;0;0;0;0,358683479672403;0;0;0,0395149315094743;0;0;0;0;0,0369775996030513;0,0117530402820556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0167747939594374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,0990649365043474;0;0;0;0;0;0;0;0;0;0;0,0215374692329248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0129640536081564;0,0816979975299985;0;0;0;0;0;0;0,0211038619842056;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0342446692142804;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0203527828711937;0;0;0;0;0;0,0110072149169114;0;0;0;0,0130639974617292;0;0;0;0;0;0;0,0409245761763362;0,0428135874799702;0;0;0;0;0,39709809581802;0;0;0;0;0;0,0668586403950241;0;0,0240279819251146;0;0;0,0220561818480339;0;0;0,0911839530337531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0;0,0228291723439901;0;0;0;0;0;0;0;0;0;0;0;0;0,0108701788779907;0;0;0;0;0,0226569460067114;0;0;0,0208345096432021;0;0;0;0;0;0,055845544767055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0288059742553712;0,0194657332979936;0;0;0;0;0;0;0;0,0335163855090712;0,0126818758658691;0;0,0262243066003265;0;0,0122289518094795;0;0;0;0;0;0;0;0;0;0,0282245511431166;0,0404914170447192;0;0;0;0,421358740551336;0;0,0172111171920852;0,0161693916336931;0;0;0;0;0;0;0;0;0;0;0,167834503458533;0;0;0;0;0,0108630864383018;0,020776638082097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0111109754790573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,0661894408295581;0;0;0;0;0;0;0;0;0;0;0,010696783598012;0;0;0;0;0;0;0;0;0;0;0;0;0,0310432259246106;0;0;0;0;0;0,0130514390472139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0307641060618709;0;0;0;0;0;0,13320447394379;0;0,0149159302341911;0;0,0961510636255582;0;0;0;0;0;0;0,105638370533814;0,0139836846407025;0;0;0;0;0,302554543736552;0;0;0,0165011413895021;0;0,0199624863605863;0,050813602316377;0;0;0,0186449126081456;0;0;0;0;0;0;0,0318828012170812;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0167804214211684;0;0;0;0;0;0;0;0,0154255576087088;0;0;0,0117960149025561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0313660700582003;0,0614549896454826;0;0;0;0;0,0877547236727866;0;0;0,0113088508412216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0435093564687998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0169753088360225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,393260679711009;0;0,10750220700738;0;0;0;0,124841272773032;0;0;0,055776015697925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0132777455995459;0;0;0;0;0;0;0;0;0;0,0529727796885952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
