"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";13;11;12;1;9;4
"X3";12;8;11;1;9;3
"X4";18;16;17;1;15;3
"X6";17;13;17;0;14;3
"X7";21;16;20;1;17;4
"X8";12;10;11;1;8;4
"X9";20;15;19;1;17;3
"X10";19;12;19;0;15;4
"X11";23;19;23;0;17;6
"X13";17;9;10;5;5;5
"X14";23;17;22;1;19;4
"X16";22;14;21;1;12;10
"X17";17;12;16;1;13;4
"X19";12;8;12;0;6;6
"X20";21;12;20;1;15;6
"X21";16;11;16;0;13;3
"X22";14;13;14;0;12;2
"X27";13;12;13;0;6;7
"X28";25;18;24;1;18;7
"X29";18;15;18;0;15;3
"X30";20;14;19;1;14;6
"X36";26;18;26;0;14;12
"X37";15;12;11;1;3;8
"X38";16;12;16;0;10;6
"X39";19;13;15;1;3;12
"X43";16;12;15;1;13;3
"X44";18;12;17;1;9;9
"X45";17;10;16;1;10;7
"X46";15;8;15;0;9;6
"X47";24;19;24;0;15;9
"X48";20;14;20;0;17;3
"X51";21;14;17;1;6;11
"X52";18;11;17;0;5;12
"X53";14;11;13;1;8;6
"X55";15;10;14;1;10;5
"X56";17;14;17;0;9;8
"X57";19;15;19;0;9;10
"X58";18;12;18;0;9;9
"X60";23;16;23;0;9;14
"X61";22;15;14;4;10;4
"X62";17;12;17;0;10;7
"X63";16;11;16;0;11;5
"X65";20;11;17;1;4;13
"X69";18;15;18;0;13;5
"X71";15;12;15;0;12;3
"X74";15;13;13;1;7;6
"X75";15;11;13;1;8;6
"X76";18;13;12;3;5;7
"X79";13;12;13;0;11;2
"X80";23;16;17;2;6;11
"PE10";26;13;19;4;2;17
"PE11";27;20;26;1;16;11
"PE13.1";18;14;18;0;11;7
"PE13.2";25;19;25;0;17;8
"PE14";18;13;17;1;15;3
"PE20";16;13;15;1;10;6
"UECR1";25;13;20;3;7;13
"UECR2";15;10;12;0;8;4
"UECR3";19;15;18;1;15;4
