"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;10;11;0;7;4
"X3";14;11;13;1;12;2
"X4";14;14;14;0;11;3
"X6";20;17;20;0;17;3
"X7";17;13;16;1;14;3
"X8";12;11;12;0;8;4
"X9";16;11;15;1;13;3
"X10";22;12;17;1;6;12
"X11";19;14;18;1;15;4
"X13";14;11;14;0;13;1
"X14";19;16;18;1;15;4
"X16";25;18;25;0;15;10
"X17";18;13;18;0;14;4
"X19";15;10;15;0;9;6
"X20";20;14;19;1;14;6
"X21";19;15;19;0;16;3
"X22";16;10;11;4;6;5
"X27";13;12;13;0;6;7
"X28";25;17;24;1;19;6
"X29";20;12;15;5;7;9
"X30";18;14;16;1;6;10
"X36";28;18;27;1;16;12
"X37";18;13;17;1;13;5
"X38";20;17;20;0;14;6
"X39";20;13;20;0;13;7
"X43";19;13;16;3;6;10
"X44";22;16;18;2;5;13
"X45";21;15;19;1;7;12
"X46";17;12;17;0;12;5
"X47";20;16;19;1;14;6
"X48";20;13;19;1;17;3
"X51";21;17;21;0;18;3
"X52";20;13;19;1;16;4
"X53";17;12;13;2;3;10
"X55";17;11;16;1;12;5
"X56";25;18;24;1;17;8
"X57";19;13;18;1;11;8
"X58";25;17;25;0;17;8
"X60";20;13;19;1;16;4
"X61";19;14;18;1;18;1
"X62";19;12;15;2;5;10
"X63";22;14;16;1;6;10
"X65";18;8;12;3;2;10
"X69";21;15;15;2;6;9
"X71";13;10;13;0;10;3
"X74";17;9;13;3;4;9
"X75";20;10;14;5;5;9
"X76";15;11;14;1;12;3
"X79";20;15;19;1;18;2
"X80";24;18;22;1;8;14
"PE10";19;12;19;0;10;9
"PE11";23;16;19;4;7;12
"PE13.1";19;16;19;0;12;7
"PE13.2";18;14;16;1;5;11
"PE14";15;10;15;0;12;3
"PE20";15;12;15;0;10;5
"UECR1";19;13;17;2;6;11
"UECR2";15;11;14;1;14;1
"UECR3";19;13;17;2;7;10
