"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;15;0,0922942191377345;5,06522902348691;0,617180637420129;0,229467841210031;0,658267998420697;0,61605601250019;3
"X3";5;18;0,0984327702630908;3,97898987072409;0,61892511356355;0,62130269257251;0,523809524058957;0,359601179144151;9
"X4";13;25;0,0868268704571499;3,66798361160921;0,256181348403124;0,534574983871245;0,62257015630721;0,192019642881227;6
"X6";4;23;0,118373666735291;4,08530093499705;0,552335370740659;0,533856001871977;0,420229221490764;0,317668231326619;10
"X7";12;29;0,0972387113053815;3,77903671471695;0,719789601982458;0,45310151961446;0,622805728454471;0,255169110119293;4
"X8";13;24;0,102582161908045;3,45113870525875;0,318999149111523;0,650966395266888;0,654164626666667;0,217140496574008;4
"X9";7;25;0,107284520412688;4,63842765033514;0,674368071475681;0,452610790755754;0,384728854304427;0,291548453071119;8
"X10";31;43;0,102072392900826;4,02154685867378;0,556922727007766;0,477580088590436;0,359779160229088;0,313951413108751;12
"X11";15;31;0,108289865664439;4,48395123935097;0,708266069769988;0,58439225523193;0,496900222584438;0,360609654473987;8
"X13";7;21;0,120479790264481;4,53579473201011;0,499630916953454;0,317170188159696;0,210229133434517;0,491321778471113;8
"X14";9;25;0,118796862782837;4,14926560120767;0,52264256121577;0,606439406717772;0,4817992859401;0,257730998574899;8
"X16";10;25;0,102527618799748;4,83454917670764;0,751971378498773;0,487860512347505;0,247737374890982;0,243962050583165;14
"X17";9;25;0,11261484278976;4,66875036458177;0,728433190084985;0,808608238203641;0,137045647745108;0,0635690990814351;10
"X19";7;19;0,0968897131623912;4,34772149352552;0,698140552141797;0,817260838597978;0,729855649047619;0,0815590795933679;6
"X20";7;22;0,102587414617461;5,12487573257355;0,753547024708292;0,773971738284558;0,183185215849493;0,0665975764504587;13
"X21";8;25;0,107357829830163;4,62949165344695;0,55382990056648;0,799750386403591;0,271682496405131;0,176935769833911;8
"X22";14;20;0,10135411196262;4,00224334735654;0,562247306590697;0,270254008315724;0,240308835506919;0,368015756487409;10
"X27";9;18;0,107441352710971;3,98233855596373;0,741714554171239;0,844986737028382;0,781176814761905;0,0663327427888111;3
"X28";10;32;0,0957258337800283;4,73607751318436;0,679187051733518;0,559767566558178;0,294346717863693;0,0990515366582293;12
"X29";21;29;0,101621266616634;4,26519365179534;0,635020302442225;0,490398910662339;0,42320708640712;0,37642482366661;11
"X30";17;24;0,0969822317061175;4,54453682516669;0,783754808192768;0,819163693993606;0,703344002275458;0,192513238576279;10
"X36";16;33;0,0951265867365269;4,21232272955736;0,69736347714405;0,775886186804296;0,452441799458972;0,0866772065891507;12
"X37";10;28;0,0967404568310466;4,40273870357062;0,658215018002285;0,506413258190445;0,162738679941076;0,328750943308391;10
"X38";7;25;0,0958721155577102;4,50235885310362;0,507843563801038;0,799460422538858;0,189713436436583;0,076944028066511;11
"X39";10;27;0,100138166111174;3,975240840663;0,563681128593285;0,456261309079215;0,244066875905877;0,129689894199069;11
"X43";20;30;0,101087225862306;4,25343548989361;0,524205582284604;0,311879432760431;0,220355918951475;0,392473280766747;9
"X44";23;30;0,115695797788683;5,44349102278803;0,740366776464515;0,469804702268308;0,711670868415176;0,0931164885182035;9
"X45";19;26;0,108309474852299;4,32566885247558;0,781487059829447;0,627390300538949;0,679274013533293;0,169647718921321;11
"X46";7;22;0,103919712302151;5,52443479923377;0,587611554283094;0,134950904991463;0,1180038847752;0,0549836343509951;12
"X47";12;30;0,098768794132283;4,35230337125502;0,671088678615313;0,793214902712556;0,424122825060727;0,0942015467026928;5
"X48";5;23;0,0955068233359876;4,83191420913902;0,503063114508303;0,76386817804734;0,271366031251741;0,119689218418979;10
"X51";3;24;0,116574946998257;4,66585387939606;0,58562270676606;0,371681007766585;0,252407852462522;0,295228484479012;10
"X52";7;26;0,0982386345028191;4,18624465398067;0,505999568365571;0,764634430201236;0,239469182327527;0,0753358174346437;13
"X53";15;21;0,0964678076635446;4,20085351546859;0,796166591863695;0,764234032147117;0,521034802671395;0,169090132585772;8
"X55";9;25;0,0951460075071389;4,3693054584944;0,697497270416947;0,771526009427453;0,383277770674206;0,156332632986369;10
"X56";13;33;0,1011205159796;4,88904322832326;0,650148141666983;0,523989971280046;0,344408637142143;0,0608141842786307;15
"X57";11;27;0,104889300245128;4,97278113336771;0,73410286493017;0,45627319018629;0,399924047681859;0,0741252623450873;9
"X58";14;31;0,100965634708739;4,14280141902474;0,582203456862514;0,532128899306347;0,328294960690622;0,175608541275335;12
"X60";10;29;0,104191302102475;4,57572492470088;0,569274431178595;0,545679549710982;0,360534861263571;0,347717731071703;9
"X61";7;26;0,117214734612857;4,11507075337368;0,527456030178402;0,460481974900284;0,286283541011901;0,277684686896582;8
