"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,0512984768818138;0;0;0;0;0;0;0;0;0,0147525032594329;0;0;0;0;0;0;0;0;0;0;0;0,0523043292563704;0;0;0;0;0;0;0;0;0,0253474825358923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0376188827576921;0;0;0;0;0;0;0;0;0;0;0,0846927793773968;0;0;0;0,220279067210421;0;0;0;0;0;0;0;0;0;0;0;0;0,151900441924628;0;0;0;0;0;0,0523043292563704;0;0;0,192835957108598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,116665750431385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0,145986085980364;0;0;0;0;0;0;0;0;0;0;0,0568606263325657;0;0;0;0;0;0;0;0;0;0;0;0;0,0177307997504946;0;0;0;0;0;0,0373389781787764;0;0;0;0;0;0;0,0196783395444474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0644052532247532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19532202676719;0;0;0,014427286762167;0;0;0,168268765814499;0;0,0423071338914398;0,0546078671798446;0;0,0500634343055271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0639369282195337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,069066474048398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0,0622426678156578;0;0;0;0;0;0;0;0;0,015610691108599;0,0907371435148239;0,0348993070682804;0;0;0,0107323504140731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,100493825396162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0242862080308093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0173102422063383;0;0;0;0;0,173243249550501;0;0;0,0393772526629189;0;0;0;0;0,337013090959621;0;0;0;0;0;0,0251785342525702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,043696902767075;0,0251785342525702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0374437486978579;0;0,0771713073921322;0;0;0;0;0;0;0,0320946418103213;0;0;0;0;0;0,0434166665998725;0;0;0,0114170216899459;0;0;0;0;0;0;0;0;0;0,0151592404914876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0179432011337122;0;0;0;0;0,163717326075226;0;0;0;0;0;0,0415877353026856;0;0,0374289618209272;0;0;0;0;0;0;0;0;0,0452139266016452;0,042474745438299;0;0,0360612254213557;0;0;0,181840463542083;0;0;0,0443602509571912;0;0;0;0;0;0,0406076591502875;0;0;0;0;0,0531615657319803;0;0;0;0;0;0;0,0269474324474136;0;0;0;0;0;0;0;0;0;0;0;0;0,0402014774754328;0;0;0;0;0;0;0;0;0;0;0;0,0117514022201438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X7";0;0;0;0;0,0343381523930528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0190767511083255;0;0;0,0591379289831511;0;0;0,0121614290243712;0;0;0,0121614290243712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0777340678268182;0;0,0150229417652576;0;0;0;0;0;0;0;0;0;0,020030588688621;0;0;0;0;0,131071607175717;0;0;0,0620126913366139;0;0;0;0;0,0776190898511721;0,0349857283845782;0;0,0143075632068482;0;0;0,0121614290243712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,209111198288634;0,0754008592544842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,133666544663612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,123201746194211;0;0;0;0;0;0;0;0;0,0529853758681684;0;0,0354976348201507;0;0;0,0111940932393854;0;0;0;0;0;0;0;0;0;0,0159711908486304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0247025805457162;0;0;0;0;0;0;0;0,0464875729606081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,239355328273418;0;0;0,05217334508427;0;0;0;0;0,34279097888932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0444460600367355;0;0;0;0;0,0111940932393854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,092145269777045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0536669150363659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0224951138183824;0;0;0;0;0;0;0;0;0,0169340254880324;0;0;0;0;0,0903623970674402;0;0;0;0;0;0,0724227542793598;0;0;0;0,103077971955487;0;0;0;0;0;0;0,045099814116925;0;0;0;0;0;0,260851311092946;0;0,039571455548717;0;0;0;0,0439190320694114;0;0;0,0111890902021797;0;0,0549601238024437;0;0;0,0190271739896309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0521219190999898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0221556326556434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0,0187708897364669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,149730593710434;0,014177637739057;0;0;0;0;0,028308507225748;0,0380022336309669;0;0;0;0;0;0;0;0;0;0,0990932217862051;0;0;0;0,0215912782949871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0196021252579136;0;0;0;0;0,0163688743296746;0;0;0;0,0228075044821242;0;0;0,0178453309103294;0,0407481658845546;0;0;0;0;0;0;0,0235749915288108;0;0;0;0;0,0275539310611238;0;0;0;0,286729646342857;0;0,0117119619713948;0,011003080032567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0789627807871525;0;0;0;0;0;0;0;0;0;0;0,0170423877904603;0;0,011887502042253;0;0;0;0;0;0;0;0;0;0,0114809582300412;0;0;0;0;0;0;0;0;0;0;0;0,033006397224879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,0451681343338251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0737089979032507;0;0;0;0;0;0,094506937135987;0;0;0;0,0332394391854795;0;0;0;0;0;0;0,0914089170690344;0,0205482584864315;0;0;0;0;0,206465322920496;0;0;0,0217953231008058;0;0,0136225394001131;0,0346755552947161;0;0;0,0479530267859275;0;0,0138193255343668;0;0;0,0542566109029764;0;0,0217570450854854;0;0;0;0;0,0188101242089819;0;0;0;0;0;0;0;0;0,0114510761751451;0;0;0,0137710464114734;0;0;0;0;0;0;0;0;0;0;0;0;0,0140010875546666;0;0;0;0;0;0;0,169041232510838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0;0;0;0;0,0162273493516171;0;0;0;0;0;0;0;0;0;0;0,0716763834687585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0734029514202764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0321321841690271;0;0;0;0;0;0;0;0;0;0;0,130449400320058;0,0196988707715084;0;0,0282235023618898;0;0;0,260814869508898;0;0,0712966628475355;0;0;0;0,0827961246762593;0;0;0,0881400157328505;0;0,0206815453498898;0;0;0;0;0;0;0;0;0;0,0519749715385317;0;0;0;0;0;0;0;0;0;0;0;0;0,0524851684828997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
