"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";14;14;14;0;10;4
"X3";8;3;6;2;4;3
"X4";10;9;9;1;7;3
"X6";20;15;20;0;17;3
"X7";20;15;19;1;17;3
"X8";15;12;14;1;11;4
"X9";14;12;13;1;11;3
"X10";18;12;18;0;14;4
"X11";23;13;21;0;7;14
"X13";15;11;15;0;14;1
"X14";21;15;16;2;7;9
"X16";21;13;20;1;11;10
"X17";20;14;20;0;16;4
"X19";14;9;13;1;8;6
"X20";20;15;19;1;14;6
"X21";15;11;15;0;12;3
"X22";14;11;13;1;12;2
"X27";17;16;17;0;10;7
"X28";15;11;15;0;9;6
"X29";17;14;17;0;14;3
"X30";19;14;19;0;13;6
"X36";22;15;21;1;10;12
"X37";19;16;18;1;14;5
"X38";18;15;17;1;12;6
"X39";21;14;21;0;14;7
"X43";14;10;13;1;11;3
"X44";21;17;20;0;6;14
"X45";19;13;19;0;12;7
"X46";14;9;14;0;9;5
"X47";22;17;22;0;16;6
"X48";22;11;16;2;7;9
"X51";21;17;20;1;18;3
"X52";14;10;13;1;10;4
"X53";20;11;17;3;6;11
"X55";16;10;16;0;11;5
"X56";16;12;16;0;8;8
"X57";23;17;22;1;15;8
"X58";24;16;23;1;16;8
"X60";23;18;23;0;19;4
"X61";22;13;18;2;9;9
"X62";20;14;14;1;4;10
"X63";15;12;14;1;11;4
"X65";19;11;14;3;5;9
"X69";17;13;17;0;12;5
"X71";15;12;15;0;12;3
"X74";14;10;14;0;12;2
"X75";15;11;14;1;13;2
"X76";12;10;11;0;4;7
"X79";13;10;8;2;4;4
"X80";23;18;22;0;8;14
"PE10";28;17;28;0;19;9
"PE11";25;21;24;0;8;16
"PE13.1";21;17;20;1;14;7
"PE13.2";19;12;19;0;11;8
"PE14";15;10;14;1;12;3
"PE20";17;15;17;0;11;6
"UECR1";21;15;20;1;17;4
"UECR2";11;7;11;0;7;4
"UECR3";22;18;21;1;18;4
