"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";11;11;11;0;7;4
"X3";7;5;6;0;4;2
"X4";16;14;15;1;14;2
"X6";18;13;17;1;15;3
"X7";11;9;10;1;8;3
"X8";7;5;7;0;5;2
"X9";11;10;11;0;8;3
"X10";14;9;13;1;11;3
"X11";19;13;11;4;6;6
"X13";17;13;16;1;16;1
"X14";16;14;15;1;12;4
"X16";15;11;14;1;6;9
"X17";17;12;17;0;13;4
"X19";15;10;15;0;9;6
"X20";17;10;14;2;2;12
"X21";19;14;18;1;17;2
"X22";21;16;21;0;19;2
"X27";13;13;13;0;7;6
"X28";15;12;14;1;9;6
"X29";12;8;6;3;3;3
"X30";16;11;15;1;13;3
"X36";22;17;22;0;12;10
"X37";11;10;10;1;8;3
"X38";18;13;17;1;13;5
"X39";24;17;23;1;17;7
"X43";13;11;13;0;10;3
"X44";23;14;19;3;3;16
"X45";21;12;20;1;15;6
"X46";14;8;13;0;1;12
"X47";22;15;14;4;6;9
"X48";17;12;16;1;14;3
"X51";13;12;13;0;10;3
"X52";21;15;20;1;17;4
"X53";18;14;17;1;12;6
"X55";14;10;14;0;10;4
"X56";19;15;18;1;11;8
"X57";16;13;15;1;10;6
"X58";14;9;13;1;8;6
"X60";19;14;18;1;17;2
"X61";12;10;12;0;12;0
"X62";14;8;9;3;2;7
"X63";17;11;16;1;13;4
"X65";22;13;21;1;17;5
"X69";18;12;15;2;7;9
"X71";15;11;14;1;12;3
"X74";15;13;15;0;13;2
"X75";10;9;10;0;8;2
"X76";17;7;12;3;3;9
"X79";9;7;9;0;8;1
"X80";19;15;19;0;12;7
"PE10";15;8;14;1;7;8
"PE11";21;16;18;1;5;13
"PE13.1";22;16;21;1;16;6
"PE13.2";21;17;20;1;14;7
"PE14";14;11;14;0;11;3
"PE20";18;15;18;0;13;5
"UECR1";19;12;16;3;5;12
"UECR2";13;11;13;0;12;1
"UECR3";14;13;14;0;11;3
